Id,dia_de_la_semana,dia,mes,ano,contador_ruta_reforma222,contador_ruta_revolucion,contador_ruta_patriotismo
136,jueves,11,julio,2019,3420,755,1117
137,lunes,1,julio,2019,3446,725,1138
138,miércoles,12,junio,2019,4188,1148,1358
139,viernes,28,junio,2019,3724,556,1159
140,martes,11,junio,2019,4133,1171,1370
141,sábado,1,junio,2019,1792,664,604
142,martes,15,enero,2019,3972,913,1404
143,domingo,17,febrero,2019,1832,408,642
144,lunes,18,febrero,2019,3786,935,1368
145,martes,19,febrero,2019,4037,927,1494
146,miércoles,27,febrero,2019,4003,999,1474
147,lunes,4,marzo,2019,3021,766,1198
148,jueves,7,marzo,2019,4050,868,1314
149,sábado,9,marzo,2019,2329,466,750
150,miércoles,27,marzo,2019,4228,919,1464
151,sábado,13,abril,2019,2243,688,700
152,viernes,19,abril,2019,2011,432,575
153,sábado,28,diciembre,2013,1052,NA,NA
154,miércoles,15,enero,2014,2283,NA,NA
155,martes,17,diciembre,2013,2246,NA,NA
156,viernes,17,enero,2014,2297,NA,NA
157,jueves,23,enero,2014,2442,NA,NA
158,miércoles,5,febrero,2014,2661,NA,NA
159,domingo,9,febrero,2014,1373,NA,NA
160,jueves,6,febrero,2014,2671,NA,NA
161,sábado,22,marzo,2014,1882,NA,NA
162,sábado,5,abril,2014,1494,NA,NA
163,jueves,20,marzo,2014,297,NA,NA
164,martes,1,abril,2014,2222,NA,NA
165,lunes,24,marzo,2014,2692,NA,NA
166,sábado,12,abril,2014,16,NA,NA
167,viernes,18,abril,2014,983,NA,NA
168,domingo,27,abril,2014,1673,NA,NA
169,lunes,14,abril,2014,2016,NA,NA
170,sábado,12,julio,2014,154,NA,NA
171,sábado,22,noviembre,2014,1457,NA,NA
172,viernes,26,diciembre,2014,1472,NA,NA
173,domingo,21,diciembre,2014,943,NA,NA
174,viernes,7,noviembre,2014,2772,NA,NA
175,miércoles,28,mayo,2014,2263,NA,NA
176,viernes,20,junio,2014,1786,NA,NA
177,viernes,30,mayo,2014,1972,NA,NA
178,martes,27,mayo,2014,2616,NA,NA
179,domingo,4,mayo,2014,1243,NA,NA
180,lunes,12,mayo,2014,2362,NA,NA
