Id,dia_de_la_semana,dia,mes,ano,contador_ruta_reforma222,contador_ruta_revolucion,contador_ruta_patriotismo
594,viernes,2,junio,2017,2992,1051,1177
595,jueves,22,junio,2017,3366,1134,1469
596,domingo,25,junio,2017,1286,590,1001
597,lunes,26,junio,2017,2335,883,1129
598,domingo,16,julio,2017,3013,600,679
599,martes,18,julio,2017,17327,914,1111
600,sábado,16,septiembre,2017,NA,386,426
601,miércoles,20,septiembre,2017,NA,NA,121
602,sábado,30,septiembre,2017,NA,NA,319
603,domingo,8,octubre,2017,NA,NA,480
604,miércoles,11,octubre,2017,NA,NA,1134
605,lunes,16,octubre,2017,NA,NA,1119
606,jueves,26,octubre,2017,NA,NA,127
607,miércoles,1,noviembre,2017,3272,NA,1133
608,jueves,16,noviembre,2017,3643,1166,1397
609,domingo,10,diciembre,2017,991,526,478
610,lunes,1,enero,2018,NA,184,215
611,viernes,12,enero,2018,NA,1097,1218
612,lunes,22,enero,2018,NA,1013,1158
613,viernes,2,febrero,2018,2956,1042,116
614,viernes,16,febrero,2018,3245,2015,1195
615,lunes,19,febrero,2018,3286,1534,1277
616,jueves,1,marzo,2018,3315,1261,1331
617,lunes,19,marzo,2018,152,549,552
618,martes,5,junio,2018,3324,1192,1304
619,jueves,7,junio,2018,3311,1142,136
620,sábado,16,junio,2018,1276,536,571
621,domingo,1,julio,2018,1249,536,577
622,jueves,5,julio,2018,3162,973,1163
623,domingo,15,julio,2018,113,488,570
624,sábado,21,julio,2018,1732,646,621
625,sábado,11,agosto,2018,NA,607,NA
626,domingo,12,agosto,2018,NA,496,NA
627,martes,4,septiembre,2018,3336,979,NA
628,martes,11,septiembre,2018,2747,970,1289
629,sábado,22,septiembre,2018,1714,658,766
630,martes,2,octubre,2018,3614,1079,1387
631,domingo,7,octubre,2018,1565,601,614
632,lunes,8,octubre,2018,3252,944,1276
633,domingo,14,octubre,2018,1816,638,685
634,lunes,22,octubre,2018,3472,914,1295
635,sábado,3,noviembre,2018,2754,417,781
636,lunes,5,noviembre,2018,3323,673,1181
637,viernes,16,noviembre,2018,3658,907,1212
638,sábado,1,diciembre,2018,1926,557,616
639,miércoles,9,julio,2014,2192,NA,NA
640,martes,15,julio,2014,2152,NA,NA
641,lunes,21,julio,2014,2346,NA,NA
642,viernes,25,julio,2014,2261,NA,NA
643,martes,29,julio,2014,2242,NA,NA
644,martes,5,agosto,2014,2651,NA,NA
645,lunes,11,agosto,2014,2091,NA,NA
646,viernes,15,agosto,2014,2204,NA,NA
647,martes,26,agosto,2014,2684,NA,NA
648,sábado,4,octubre,2014,1147,NA,NA
649,domingo,5,octubre,2014,106,NA,NA
650,martes,21,octubre,2014,2473,NA,NA
651,martes,28,octubre,2014,2746,NA,NA
652,domingo,30,noviembre,2014,1374,NA,NA
653,lunes,22,diciembre,2014,1879,NA,NA
654,lunes,5,enero,2015,1803,NA,NA
655,martes,6,enero,2015,1879,NA,NA
656,lunes,12,enero,2015,2582,NA,NA
657,jueves,5,febrero,2015,2799,NA,NA
658,viernes,13,febrero,2015,2292,NA,NA
659,viernes,27,febrero,2015,2857,NA,NA
660,martes,31,marzo,2015,2677,NA,NA
661,domingo,5,abril,2015,1267,NA,NA
662,jueves,9,abril,2015,2953,NA,NA
663,sábado,16,mayo,2015,1343,NA,NA
664,sábado,6,junio,2015,1061,NA,NA
665,miércoles,10,junio,2015,2905,NA,NA
666,jueves,11,junio,2015,2862,NA,NA
667,viernes,19,junio,2015,2589,NA,NA
668,jueves,25,junio,2015,2833,NA,NA
669,domingo,20,septiembre,2015,1276,NA,NA
670,jueves,8,octubre,2015,2914,NA,NA
671,sábado,10,octubre,2015,1386,NA,NA
672,lunes,26,octubre,2015,2551,NA,NA
673,sábado,7,noviembre,2015,1501,NA,NA
674,jueves,26,noviembre,2015,327,NA,NA
675,domingo,6,diciembre,2015,800,NA,NA
676,domingo,6,marzo,2016,1055,NA,NA
677,sábado,19,marzo,2016,1331,NA,NA
678,miércoles,23,marzo,2016,2235,NA,NA
679,domingo,24,abril,2016,1581,NA,NA
680,domingo,8,mayo,2016,879,NA,NA
681,sábado,21,mayo,2016,1379,NA,NA
682,jueves,16,junio,2016,283,855,901
683,martes,19,julio,2016,2878,803,837
684,sábado,14,diciembre,2013,1266,NA,NA
685,domingo,15,diciembre,2013,914,NA,NA
686,lunes,16,diciembre,2013,2215,NA,NA
687,viernes,10,enero,2014,2349,NA,NA
688,lunes,3,febrero,2014,1236,NA,NA
689,martes,7,enero,2014,2062,NA,NA
690,jueves,9,enero,2014,2203,NA,NA
691,sábado,8,marzo,2014,1838,NA,NA
692,martes,11,marzo,2014,274,NA,NA
693,jueves,13,marzo,2014,285,NA,NA
694,domingo,25,mayo,2014,1347,NA,NA
695,lunes,30,junio,2014,1515,NA,NA
696,miércoles,23,abril,2014,2428,NA,NA
697,miércoles,21,mayo,2014,2693,NA,NA
698,sábado,29,marzo,2014,1298,NA,NA
699,lunes,21,abril,2014,2097,NA,NA
700,sábado,4,mayo,2019,2139,616,659
701,sábado,18,mayo,2019,1963,641,632
702,viernes,24,mayo,2019,3713,1061,1211
703,lunes,7,enero,2019,3521,770,1202
704,lunes,21,enero,2019,3808,982,1238
705,lunes,4,febrero,2019,1946,430,638
706,lunes,11,febrero,2019,3818,629,1435
707,martes,5,marzo,2019,3229,806,1318
708,martes,12,marzo,2019,4029,941,1392
709,domingo,21,abril,2019,1680,527,559
710,domingo,30,junio,2019,1758,457,639
711,sábado,29,junio,2019,1601,565,661
712,martes,16,julio,2019,3631,825,1139
713,jueves,1,agosto,2019,3717,945,1239
714,lunes,5,agosto,2019,2723,706,977
715,martes,6,agosto,2019,3155,950,1200
716,domingo,11,agosto,2019,1515,540,497
717,domingo,18,agosto,2019,1700,547,562
718,lunes,19,agosto,2019,3315,844,1157
719,miércoles,21,agosto,2019,3759,922,1277
720,lunes,26,agosto,2019,3438,994,1142
721,martes,27,agosto,2019,3674,975,1255
722,viernes,30,agosto,2019,3685,966,1155
723,lunes,2,septiembre,2019,3655,898,1216
724,miércoles,4,septiembre,2019,3881,973,1351
725,sábado,7,septiembre,2019,2005,613,688
726,domingo,8,septiembre,2019,1816,598,605
727,martes,10,septiembre,2019,3033,826,1106
728,miércoles,11,septiembre,2019,3360,851,1157
729,viernes,13,septiembre,2019,3342,881,1097
730,martes,17,septiembre,2019,3000,901,1084
731,jueves,19,septiembre,2019,2870,763,987
732,domingo,22,septiembre,2019,1784,614,662
733,lunes,23,septiembre,2019,3630,923,1203
734,miércoles,25,septiembre,2019,2584,843,1112
735,viernes,27,septiembre,2019,3740,1034,1211
736,sábado,28,septiembre,2019,1990,582,619
737,viernes,15,junio,2018,2062,623,649
738,viernes,13,julio,2018,2332,802,973
739,viernes,6,julio,2018,2835,871,108
740,jueves,14,junio,2018,1465,574,593
741,domingo,2,septiembre,2018,1573,504,NA
742,jueves,1,noviembre,2018,2677,613,875
743,sábado,6,octubre,2018,1743,678,796
744,domingo,26,mayo,2019,1848,611,678
745,lunes,27,mayo,2019,3745,1067,1303
746,miércoles,9,abril,2014,2698,NA,NA
747,martes,29,abril,2014,244,NA,NA
748,lunes,31,marzo,2014,2519,NA,NA
749,viernes,18,julio,2014,1963,NA,NA
750,sábado,2,agosto,2014,1503,NA,NA
751,miércoles,22,octubre,2014,2385,NA,NA
752,martes,9,septiembre,2014,2174,NA,NA
753,lunes,8,septiembre,2014,1967,NA,NA
754,jueves,23,octubre,2014,2729,NA,NA
755,jueves,2,octubre,2014,2434,NA,NA
756,miércoles,12,noviembre,2014,2679,NA,NA
757,sábado,1,noviembre,2014,1529,NA,NA
758,martes,2,diciembre,2014,2652,NA,NA
759,viernes,27,marzo,2015,2541,NA,NA
760,martes,10,marzo,2015,2827,NA,NA
761,jueves,29,enero,2015,2856,NA,NA
762,miércoles,3,diciembre,2014,2664,NA,NA
763,lunes,29,diciembre,2014,1829,NA,NA
764,domingo,11,enero,2015,1338,NA,NA
765,viernes,2,enero,2015,1473,NA,NA
766,viernes,5,agosto,2016,2443,747,778
767,viernes,29,julio,2016,1418,766,816
768,miércoles,20,julio,2016,2809,837,863
769,viernes,22,julio,2016,2216,653,703
770,viernes,29,abril,2016,2763,NA,NA
771,jueves,18,agosto,2016,2848,827,921
772,miércoles,9,enero,2019,3730,964,1415
773,viernes,11,enero,2019,3846,964,1451
774,domingo,20,enero,2019,1949,376,615
775,martes,1,enero,2019,1406,242,290
776,lunes,13,enero,2014,2255,NA,NA
777,miércoles,19,febrero,2014,3107,NA,NA
778,sábado,8,febrero,2014,1492,NA,NA
779,martes,18,febrero,2014,2713,NA,NA
780,martes,25,febrero,2014,2809,NA,NA
781,lunes,10,febrero,2014,265,NA,NA
782,miércoles,25,enero,2017,3198,1096,1279
783,miércoles,18,enero,2017,2976,1072,1182
784,domingo,5,febrero,2017,1199,531,609
785,martes,7,febrero,2017,3114,1093,1233
786,sábado,11,marzo,2017,1557,636,667
787,miércoles,14,febrero,2018,3519,1306,1383
788,miércoles,21,marzo,2018,3023,1109,131
789,martes,27,febrero,2018,3299,1275,1389
790,sábado,17,marzo,2018,1627,689,622
791,martes,6,marzo,2018,3312,3102,1457
792,viernes,30,septiembre,2016,2538,791,815
793,domingo,6,noviembre,2016,1103,597,474
794,sábado,25,noviembre,2017,1434,675,656
795,lunes,20,noviembre,2017,1781,563,555
796,viernes,15,diciembre,2017,2749,993,1014
797,lunes,12,febrero,2018,3276,1607,1202
798,jueves,11,enero,2018,NA,1134,1227
799,domingo,27,noviembre,2016,1009,494,563
800,sábado,26,noviembre,2016,1302,616,568
801,domingo,11,diciembre,2016,963,408,393
802,viernes,9,diciembre,2016,2622,884,1002
803,lunes,28,noviembre,2016,2659,887,1076
804,martes,17,abril,2018,337,1141,1461
805,domingo,8,abril,2018,1387,561,609
806,martes,3,abril,2018,299,1103,1206
807,jueves,4,mayo,2017,2703,944,116
808,martes,9,mayo,2017,3073,1177,1327
809,lunes,1,mayo,2017,1228,563,573
810,sábado,24,junio,2017,1161,664,692
811,domingo,18,junio,2017,968,607,618
812,domingo,21,mayo,2017,136,561,783
813,viernes,9,junio,2017,2965,1119,2132
814,lunes,29,mayo,2017,2778,992,1228
815,martes,11,julio,2017,10391,819,839
816,lunes,17,julio,2017,1061,926,1077
817,viernes,4,agosto,2017,NA,897,985
818,domingo,12,noviembre,2017,1304,576,600
819,viernes,3,noviembre,2017,2949,NA,109
820,jueves,2,noviembre,2017,2331,NA,869
821,domingo,29,octubre,2017,NA,NA,1287
822,martes,3,octubre,2017,NA,NA,11
823,sábado,31,marzo,2018,136,490,439
824,viernes,30,marzo,2018,1341,376,504
825,jueves,22,marzo,2018,3224,938,1346
826,domingo,20,mayo,2018,1181,553,620
827,viernes,11,mayo,2018,3123,108,1322
828,lunes,21,mayo,2018,2804,903,1115
829,miércoles,6,mayo,2015,2463,NA,NA
830,domingo,26,abril,2015,1445,NA,NA
831,domingo,31,mayo,2015,1143,NA,NA
832,sábado,31,octubre,2015,2239,NA,NA
833,lunes,7,diciembre,2015,253,NA,NA
834,domingo,24,enero,2016,1024,NA,NA
835,viernes,1,enero,2016,708,NA,NA
836,sábado,2,enero,2016,988,NA,NA
837,miércoles,13,abril,2016,3096,NA,NA
838,miércoles,20,abril,2016,2029,NA,NA
839,viernes,25,marzo,2016,1376,NA,NA
840,jueves,7,abril,2016,3014,NA,NA
841,jueves,3,septiembre,2015,1613,NA,NA
842,martes,6,octubre,2015,2969,NA,NA
843,domingo,26,julio,2015,1449,NA,NA
844,viernes,3,julio,2015,2294,NA,NA
845,jueves,6,agosto,2015,276,NA,NA
846,martes,28,julio,2015,2776,NA,NA
847,miércoles,17,febrero,2016,2588,NA,NA
848,domingo,28,febrero,2016,1701,NA,NA
849,viernes,26,febrero,2016,3048,NA,NA
850,martes,8,marzo,2016,2406,NA,NA
851,miércoles,25,junio,2014,1485,NA,NA
852,martes,10,junio,2014,2337,NA,NA
853,martes,17,junio,2014,1933,NA,NA
854,sábado,5,julio,2014,1109,NA,NA
855,sábado,17,mayo,2014,1679,NA,NA
856,sábado,3,mayo,2014,1333,NA,NA
857,viernes,9,mayo,2014,2511,NA,NA
858,jueves,15,mayo,2014,2743,NA,NA
859,jueves,8,mayo,2014,2192,NA,NA
860,martes,7,mayo,2019,4040,1158,1455
861,miércoles,6,febrero,2019,4102,1050,1419
862,viernes,15,febrero,2019,3818,753,1304
863,viernes,22,febrero,2019,3830,930,1422
864,jueves,14,febrero,2019,4149,1048,1461
865,viernes,25,enero,2019,4170,887,1361
866,miércoles,13,marzo,2019,4051,1018,1499
867,miércoles,3,abril,2019,4192,1094,1457
868,viernes,5,abril,2019,4077,1107,1346
869,domingo,16,junio,2019,1634,263,551
870,jueves,20,junio,2019,3690,898,1287
871,domingo,23,junio,2019,1494,598,578
872,viernes,17,mayo,2019,3141,830,919
873,domingo,12,mayo,2019,2055,575,642
874,lunes,20,mayo,2019,3642,1078,1288
875,jueves,10,enero,2019,3835,719,1422
876,sábado,26,enero,2019,2340,432,740
877,miércoles,13,febrero,2019,3187,685,1247
878,miércoles,20,febrero,2019,4030,920,1429
879,domingo,24,febrero,2019,1785,579,673
880,sábado,16,marzo,2019,2120,573,704
881,domingo,24,marzo,2019,1997,592,592
882,sábado,30,marzo,2019,2349,654,921
883,domingo,19,enero,2014,1107,NA,NA
884,martes,21,enero,2014,2503,NA,NA
885,jueves,2,enero,2014,138,NA,NA
886,sábado,22,febrero,2014,1571,NA,NA
887,sábado,1,febrero,2014,1369,NA,NA
888,jueves,13,febrero,2014,2696,NA,NA
889,viernes,31,enero,2014,2653,NA,NA
890,domingo,30,marzo,2014,990,NA,NA
891,viernes,21,marzo,2014,2924,NA,NA
892,martes,18,marzo,2014,2873,NA,NA
893,viernes,4,abril,2014,2716,NA,NA
894,jueves,3,abril,2014,3043,NA,NA
895,jueves,10,abril,2014,2773,NA,NA
896,martes,16,septiembre,2014,988,NA,NA
897,miércoles,6,agosto,2014,256,NA,NA
898,miércoles,2,julio,2014,2098,NA,NA
899,viernes,1,agosto,2014,2375,NA,NA
900,jueves,14,agosto,2014,2166,NA,NA
901,viernes,4,julio,2014,1835,NA,NA
902,miércoles,17,diciembre,2014,2521,NA,NA
903,jueves,6,noviembre,2014,2865,NA,NA
904,martes,6,mayo,2014,2637,NA,NA
905,viernes,31,octubre,2014,2745,NA,NA
906,viernes,3,octubre,2014,204,NA,NA
907,sábado,28,marzo,2015,1168,NA,NA
908,viernes,20,marzo,2015,2805,NA,NA
909,sábado,28,febrero,2015,1515,NA,NA
910,jueves,5,marzo,2015,2888,NA,NA
911,miércoles,15,abril,2015,2998,NA,NA
912,miércoles,8,abril,2015,2995,NA,NA
913,jueves,30,abril,2015,2568,NA,NA
914,domingo,10,mayo,2015,984,NA,NA
915,martes,26,mayo,2015,2825,NA,NA
916,lunes,18,mayo,2015,2609,NA,NA
917,miércoles,16,septiembre,2015,738,NA,NA
918,viernes,18,septiembre,2015,2064,NA,NA
919,domingo,27,septiembre,2015,1078,NA,NA
920,viernes,4,septiembre,2015,2134,NA,NA
921,martes,1,septiembre,2015,2487,NA,NA
922,lunes,10,agosto,2015,263,NA,NA
923,viernes,20,noviembre,2015,2735,NA,NA
924,domingo,8,noviembre,2015,896,NA,NA
925,sábado,11,julio,2015,14,NA,NA
926,domingo,14,junio,2015,989,NA,NA
927,jueves,28,mayo,2015,2112,NA,NA
928,lunes,15,junio,2015,2401,NA,NA
929,domingo,11,octubre,2015,1264,NA,NA
930,martes,13,octubre,2015,2891,NA,NA
931,lunes,12,octubre,2015,2751,NA,NA
932,domingo,24,julio,2016,934,436,450
933,domingo,19,junio,2016,846,471,394
934,miércoles,25,mayo,2016,2788,NA,NA
935,sábado,28,mayo,2016,1494,NA,NA
936,domingo,5,junio,2016,941,NA,NA
937,viernes,11,diciembre,2015,2571,NA,NA
938,domingo,27,diciembre,2015,1037,NA,NA
939,martes,22,diciembre,2015,2294,NA,NA
940,lunes,21,diciembre,2015,2207,NA,NA
941,viernes,15,enero,2016,2489,NA,NA
942,miércoles,27,abril,2016,3024,NA,NA
943,domingo,17,abril,2016,1116,NA,NA
944,sábado,16,abril,2016,2285,NA,NA
945,miércoles,30,marzo,2016,2774,NA,NA
946,domingo,27,marzo,2016,1293,NA,NA
947,domingo,20,marzo,2016,947,NA,NA
948,sábado,9,abril,2016,1258,NA,NA
949,viernes,1,abril,2016,2723,NA,NA
950,domingo,14,febrero,2016,1731,NA,NA
951,viernes,22,enero,2016,2565,NA,NA
952,miércoles,17,agosto,2016,2739,736,824
953,domingo,19,febrero,2017,111,512,552
954,miércoles,4,enero,2017,249,937,954
955,jueves,23,febrero,2017,3268,1166,1319
956,viernes,27,enero,2017,3025,1051,1206
957,sábado,21,enero,2017,1456,691,627
958,miércoles,3,mayo,2017,3084,1151,1364
959,domingo,2,julio,2017,971,579,2794
960,domingo,9,julio,2017,924,493,595
961,miércoles,8,noviembre,2017,3558,854,1327
962,viernes,17,noviembre,2017,3539,1107,1294
963,jueves,23,noviembre,2017,3378,1118,1273
964,domingo,2,abril,2017,1266,596,546
965,miércoles,12,julio,2017,7191,886,910
966,miércoles,26,julio,2017,NA,849,990
967,martes,25,julio,2017,NA,773,917
968,viernes,29,septiembre,2017,NA,NA,883
969,lunes,25,septiembre,2017,NA,NA,971
970,viernes,6,octubre,2017,NA,NA,1063
971,lunes,9,octubre,2017,NA,NA,11
972,sábado,3,septiembre,2016,1261,743,603
973,domingo,4,septiembre,2016,1142,370,428
974,viernes,9,febrero,2018,2666,916,1063
975,lunes,5,febrero,2018,1281,569,595
976,miércoles,24,enero,2018,NA,923,1006
977,miércoles,21,febrero,2018,3321,3611,1368
978,sábado,24,febrero,2018,1652,4752,884
979,domingo,18,marzo,2018,1254,640,632
980,viernes,16,marzo,2018,3062,988,1246
981,miércoles,11,abril,2018,2957,1042,1215
982,domingo,22,abril,2018,1285,598,620
983,martes,24,abril,2018,3175,922,1297
984,jueves,22,noviembre,2018,3954,1007,1267
985,martes,19,noviembre,2013,1344,NA,NA
986,viernes,6,diciembre,2013,2481,NA,NA
987,miércoles,20,junio,2018,2981,1006,1191
988,domingo,27,mayo,2018,1512,590,718
989,miércoles,23,mayo,2018,3162,960,1336
990,lunes,14,mayo,2018,3216,886,1292
991,miércoles,10,octubre,2018,2614,775,1332
992,domingo,4,noviembre,2018,1281,400,506
993,martes,30,octubre,2018,3446,917,1222
994,sábado,15,septiembre,2018,1495,539,587
995,viernes,21,septiembre,2018,3377,1017,1291
996,viernes,28,septiembre,2018,3203,977,124
997,domingo,16,septiembre,2018,115,372,598
998,martes,25,septiembre,2018,314,767,1295
999,lunes,24,septiembre,2018,313,1055,1228
1000,jueves,6,septiembre,2018,3031,892,797
1001,sábado,1,septiembre,2018,1821,656,NA
1002,miércoles,29,agosto,2018,297,859,NA
1003,miércoles,31,julio,2019,3549,955,1216
1004,lunes,3,junio,2019,3733,1046,1327
1005,miércoles,26,junio,2019,3747,796,1158
1006,sábado,16,noviembre,2013,613,NA,NA
1007,sábado,30,noviembre,2013,127,NA,NA
1008,lunes,1,septiembre,2014,1809,NA,NA
1009,martes,19,agosto,2014,221,NA,NA
1010,lunes,25,agosto,2014,2371,NA,NA
1011,jueves,19,marzo,2015,2825,NA,NA
1012,miércoles,15,octubre,2014,2594,NA,NA
1013,domingo,23,noviembre,2014,1184,NA,NA
1014,lunes,10,noviembre,2014,2593,NA,NA
1015,viernes,24,octubre,2014,2452,NA,NA
1016,miércoles,11,junio,2014,2277,NA,NA
1017,viernes,25,abril,2014,2661,NA,NA
1018,domingo,8,junio,2014,852,NA,NA
1019,lunes,9,junio,2014,2295,NA,NA
1020,lunes,2,junio,2014,2425,NA,NA
1021,sábado,13,diciembre,2014,1191,NA,NA
1022,jueves,11,diciembre,2014,2437,NA,NA
1023,domingo,25,enero,2015,1477,NA,NA
1024,domingo,6,abril,2014,123,NA,NA
1025,jueves,17,abril,2014,1486,NA,NA
1026,domingo,22,febrero,2015,1377,NA,NA
1027,lunes,9,febrero,2015,2061,NA,NA
1028,sábado,21,junio,2014,1082,NA,NA
1029,viernes,27,junio,2014,2383,NA,NA
1030,jueves,31,julio,2014,2729,NA,NA
1031,miércoles,22,junio,2016,2739,865,918
1032,sábado,5,marzo,2016,2947,NA,NA
1033,sábado,19,septiembre,2015,1496,NA,NA
1034,miércoles,14,octubre,2015,2695,NA,NA
1035,domingo,4,octubre,2015,1157,NA,NA
1036,jueves,15,octubre,2015,2885,NA,NA
1037,lunes,19,octubre,2015,2542,NA,NA
1038,sábado,12,diciembre,2015,123,NA,NA
1039,domingo,20,diciembre,2015,875,NA,NA
1040,viernes,8,enero,2016,2417,NA,NA
1041,martes,10,noviembre,2015,2972,NA,NA
1042,martes,3,noviembre,2015,2626,NA,NA
1043,lunes,16,noviembre,2015,1125,NA,NA
1044,sábado,24,octubre,2015,1509,NA,NA
1045,miércoles,25,noviembre,2015,2783,NA,NA
1046,miércoles,2,diciembre,2015,2777,NA,NA
1047,sábado,28,noviembre,2015,1419,NA,NA
1048,lunes,30,noviembre,2015,2706,NA,NA
1049,miércoles,27,enero,2016,2907,NA,NA
1050,sábado,6,febrero,2016,1365,NA,NA
1051,sábado,15,agosto,2015,1316,NA,NA
1052,lunes,27,julio,2015,2396,NA,NA
1053,miércoles,24,junio,2015,279,NA,NA
1054,domingo,5,julio,2015,116,NA,NA
1055,jueves,9,julio,2015,2402,NA,NA
1056,lunes,6,julio,2015,2246,NA,NA
1057,viernes,1,mayo,2015,1304,NA,NA
1058,viernes,8,mayo,2015,2474,NA,NA
1059,lunes,8,junio,2015,2762,NA,NA
1060,viernes,23,septiembre,2016,2374,813,821
1061,miércoles,15,mayo,2019,3382,944,1169
1062,miércoles,29,mayo,2019,4154,1040,1434
1063,miércoles,8,mayo,2019,4125,1109,1481
1064,martes,21,mayo,2019,3729,1083,1379
1065,domingo,6,enero,2019,1553,328,526
1066,martes,8,enero,2019,3648,618,1245
1067,lunes,14,enero,2019,3600,581,1293
1068,miércoles,6,marzo,2019,3917,992,1427
1069,martes,26,marzo,2019,4372,1011,1422
1070,viernes,26,abril,2019,3647,1027,1250
1071,jueves,17,noviembre,2016,2681,839,1017
1072,viernes,14,octubre,2016,2786,960,976
1073,domingo,23,octubre,2016,114,507,478
1074,lunes,17,octubre,2016,268,922,952
1075,miércoles,29,noviembre,2017,3473,1089,1237
1076,jueves,14,diciembre,2017,3004,951,1065
1077,martes,14,noviembre,2017,3455,1144,1361
1078,viernes,1,diciembre,2017,3165,1041,111
1079,jueves,9,noviembre,2017,346,1109,1229
1080,lunes,4,diciembre,2017,3164,1094,1192
1081,miércoles,14,marzo,2018,2789,936,1259
1082,domingo,11,febrero,2018,1373,778,656
1083,domingo,4,febrero,2018,1251,553,602
1084,sábado,10,marzo,2018,1828,4874,676
1085,martes,6,febrero,2018,3213,1125,1273
1086,sábado,3,marzo,2018,1628,108,650
1087,miércoles,16,mayo,2018,3352,963,1361
1088,lunes,16,julio,2018,2708,863,998
1089,jueves,15,marzo,2018,2978,891,1219
1090,jueves,29,marzo,2018,1834,559,700
1091,domingo,13,mayo,2018,1294,588,604
1092,sábado,5,mayo,2018,1673,546,574
1093,domingo,29,julio,2018,1878,562,719
1094,lunes,3,septiembre,2018,3009,952,NA
1095,martes,21,agosto,2018,2931,874,NA
1096,lunes,27,agosto,2018,2425,773,NA
1097,jueves,9,agosto,2018,NA,928,NA
1098,jueves,1,febrero,2018,280,1088,12
1099,sábado,30,diciembre,2017,NA,489,407
1100,miércoles,10,enero,2018,NA,1105,1171
1101,viernes,5,enero,2018,NA,982,933
1102,miércoles,11,enero,2017,2949,993,1159
1103,miércoles,8,marzo,2017,309,1141,1297
1104,jueves,16,febrero,2017,3171,1111,1278
1105,sábado,4,marzo,2017,1468,670,629
1106,jueves,23,marzo,2017,3235,1073,13
1107,lunes,9,enero,2017,276,948,1028
1108,miércoles,12,abril,2017,2537,838,688
1109,miércoles,5,abril,2017,3192,1107,1251
1110,sábado,29,abril,2017,1567,703,624
1111,viernes,30,junio,2017,2564,928,164
1112,domingo,14,mayo,2017,1226,600,678
1113,domingo,4,junio,2017,1183,588,634
1114,martes,16,mayo,2017,3159,1133,1411
1115,miércoles,18,octubre,2017,NA,NA,1176
1116,viernes,13,octubre,2017,NA,NA,1119
1117,viernes,23,noviembre,2018,3915,933,1232
1118,sábado,7,enero,2017,1269,672,530
1119,domingo,21,octubre,2018,1523,514,621
1120,sábado,13,octubre,2018,2045,645,712
1121,viernes,14,julio,2017,7291,1007,1041
1122,jueves,10,agosto,2017,NA,551,595
1123,viernes,28,julio,2017,NA,932,971
1124,domingo,14,julio,2019,1680,450,532
1125,domingo,2,junio,2019,1734,636,521
1126,sábado,21,diciembre,2013,1121,NA,NA
1127,lunes,25,noviembre,2013,2165,NA,NA
1128,sábado,13,enero,2018,NA,649,612
1129,domingo,14,enero,2018,NA,594,617
1130,jueves,18,enero,2018,NA,1082,1143
1131,martes,23,enero,2018,NA,118,1282
1132,miércoles,28,marzo,2018,2926,863,1106
1133,sábado,7,abril,2018,1682,722,692
1134,jueves,17,mayo,2018,3333,11,1374
1135,sábado,26,mayo,2018,1626,693,701
1136,lunes,28,mayo,2018,3145,1038,1298
1137,miércoles,30,mayo,2018,3398,1203,1306
1138,sábado,2,junio,2018,1514,681,644
1139,lunes,9,julio,2018,2402,839,1032
1140,domingo,22,julio,2018,1428,588,644
1141,viernes,19,octubre,2018,2753,927,1282
1142,miércoles,24,octubre,2018,3853,1037,144
1143,domingo,28,octubre,2018,1794,648,1289
1144,sábado,10,noviembre,2018,2133,577,717
1145,domingo,25,noviembre,2018,178,476,656
1146,domingo,16,diciembre,2018,1473,532,549
1147,miércoles,16,julio,2014,1974,NA,NA
1148,miércoles,4,junio,2014,2407,NA,NA
1149,domingo,22,junio,2014,1107,NA,NA
1150,sábado,14,junio,2014,166,NA,NA
1151,jueves,3,julio,2014,2331,NA,NA
1152,viernes,19,septiembre,2014,2149,NA,NA
1153,lunes,22,septiembre,2014,1879,NA,NA
1154,jueves,4,septiembre,2014,1849,NA,NA
1155,jueves,17,julio,2014,181,NA,NA
1156,viernes,28,marzo,2014,278,NA,NA
1157,domingo,11,mayo,2014,135,NA,NA
1158,lunes,28,abril,2014,2524,NA,NA
1159,viernes,18,marzo,2016,2653,NA,NA
1160,jueves,16,mayo,2019,2840,837,951
1161,jueves,23,mayo,2019,3855,883,1298
1162,jueves,30,mayo,2019,4048,1049,1363
1163,jueves,20,febrero,2014,2789,NA,NA
1164,sábado,18,enero,2014,1483,NA,NA
1165,viernes,24,enero,2014,2446,NA,NA
1166,viernes,14,noviembre,2014,2147,NA,NA
1167,domingo,2,noviembre,2014,1005,NA,NA
1168,martes,7,octubre,2014,2691,NA,NA
1169,viernes,22,abril,2016,2148,NA,NA
1170,sábado,30,abril,2016,1396,NA,NA
1171,miércoles,18,mayo,2016,2807,NA,NA
1172,viernes,20,mayo,2016,2653,NA,NA
1173,martes,24,mayo,2016,2554,NA,NA
1174,lunes,6,junio,2016,2684,NA,NA
1175,miércoles,8,junio,2016,2769,NA,NA
1176,domingo,12,junio,2016,945,NA,NA
1177,miércoles,15,junio,2016,2909,864,993
1178,martes,21,junio,2016,2671,791,884
1179,viernes,24,junio,2016,2716,762,853
1180,sábado,25,junio,2016,1087,479,438
1181,lunes,27,junio,2016,2315,729,737
1182,miércoles,6,julio,2016,2805,747,803
1183,viernes,8,julio,2016,268,779,790
1184,viernes,15,julio,2016,2699,844,824
1185,sábado,16,julio,2016,1223,533,437
1186,jueves,28,julio,2016,2577,753,833
1187,domingo,31,julio,2016,1479,467,1396
1188,jueves,4,agosto,2016,2853,813,867
