PUNTO_LEV,ID_UNICO,FOLIO,CALLE_LEV,CALLE_1,CALLE_2,RESUL,F1,P1,MUNORI,P2_COL,P2_REF1,P2_REF2,P3,MUNDES,P4_COL,P4_REF1,P4_REF2,P5,P6,P7_HR,P7_MIN,P8_HR,P8_MIN,P9,P9_1,P10,P11,P11_1,P12,P13,P14_1,P14_2,P14_3,P14_4,P15,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17,P17_1,P17_2,P17_3,P18,P19,P20,P21_NIVEL,NIVEL,P21_AÑO,P22,P23,P23_1,P24,P24_1,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P27,FACTOR
99,1611,22,FRANCISCO MORAZAN,PICO DE ORIZABA,MALINCHE,1,37,1,09005,PRADERA,MONTE CRUCES,POPOCATEPETL,5,09005,LA PRADERA,MORAZAN,MONTE CRUCES,5,8,16,45,17,20,2,0.0,,1,5.0,8,1,1,1,1,1,5,1,1,2,1,1,2,2,1,2,,,,1,1,2,4,3,3,30,2000,2,1,2,1,2,2,2,2,2,2,2,2,4,67.43
99,1599,10,LA PRADERA,VOLCANE JORULLO,MALINCHE,1,36,1,09005,SAN JUAN DE ARAGON,AV 412 A,AV 413 A,4,09005,PRADERA,AV 49,,4,4,9,19,9,35,1,1.0,2,2,0.0,,1,4,4,4,4,8,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,999999,999999,9,1,2,4,2,2,2,2,2,2,2,2,6,67.43
98,1581,6,AV 606,AV 613,AV 611,1,65,1,09005,ARAGON 3RA SECCION,IGLESIA SAN CAMILO,,7,09015,CENTRO,PLAZA MEABE,,4,4,12,30,13,30,2,0.0,,2,0.0,,2,4,4,4,4,10,2,2,2,2,2,2,1,2,2,,,,1,1,1,8,5,4,50,999999,9,1,2,4,1,2,2,2,2,2,2,2,4,33.4
100,1614,2,AV. CENTRAL,NORTE,,1,13,2,09006,PANTITLAN,,,4,09017,PANTITLAN,,,4,5,7,30,8,33,1,2.0,9,1,2.0,9,2,4,4,4,4,3,2,1,2,2,1,1,2,1,2,,,,2,,1,4,3,3,988888,988888,2,1,2,2,1,2,2,2,2,2,2,2,6,100.16
102,1644,14,AV SUR 12,ROJO GOMEZ,AV SUR 12,1,23,1,09006,AGRICOLA ORIENTAL,,,2,09006,AGRICOLA ORIENTAL,,,3,1,14,20,14,40,2,0.0,,2,0.0,,2,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,3,2,1,1,1,5,4,3,999999,999999,9,1,2,4,2,2,2,2,2,2,2,2,4,65.96
103,1660,12,SUR 16,ORIENTE 217,,1,35,2,09006,A ORIENTAR,HUARACHERIA,,7,09006,ENTREGAS,,,4,8,99,99,99,99,9,0.0,,2,0.0,,1,4,4,4,4,3,1,1,2,2,1,1,1,1,2,,,,1,1,1,5,4,3,70,6500,4,1,2,3,1,2,2,2,1,2,2,1,6,135.69
102,1636,6,AV SUR  12,ROJO GOMEZ,SUR 12,1,50,1,09006,AGRICOLA ORIENTAL,,,2,09006,AGRICOLA ORIENTAL,,,4,1,11,7,11,20,2,0.0,,2,0.0,,1,4,4,4,4,1,2,2,2,2,2,2,2,2,2,,,,2,,2,3,1,3,999999,999999,9,1,2,4,2,2,2,2,2,2,2,2,4,65.96
104,1662,2,VIADUCTO RIO DE LA PIEDAD,VIADUCTO RIO DE LA PIEDAD,,1,50,1,09006,CIUDAD DEPORTIVA,,,4,09006,CIUDAD DEPORTIVA,,,4,4,9,40,10,10,2,0.0,,2,0.0,,2,1,4,4,4,2,2,2,2,2,2,2,2,2,2,,,,2,,1,3,2,6,30,999999,9,1,2,2,1,2,2,2,2,2,2,2,4,98.2
116,1816,18,ERMITA IZTAPALAPA,JAVIER ROJO GOMEZ,,1,56,2,09006,RODEO,,,1,09007,VALLE DEL SUR,,,5,2,18,30,19,25,1,2.0,2,2,0.0,,2,4,4,4,4,10,2,2,2,1,1,2,2,1,1,2,9,1,2,,1,4,3,3,70,4800,3,1,2,4,2,2,1,2,2,2,2,2,5,77.31
115,1784,3,CAMINO ANTIGUO A CULHUACAN,ARROLLO TLALOC,,1,20,1,09007,DEL VALLE LUCES,,,4,09007,REYES CULHUACAN,M TLALILCO,,4,4,8,50,9,12,2,0.0,,2,0.0,,1,3,2,3,4,1,2,2,2,2,1,2,2,2,1,2,9,1,2,,1,4,3,3,30,999999,3,1,2,4,2,2,2,2,2,2,2,2,4,31.83
114,1778,16,ARNESES,ARNESES,COLORINES,1,32,3,09006,GRANJAS MEXICO,,,1,09007,REYES CULHUACAN,,,5,2,19,0,20,0,1,3.0,3,2,0.0,,2,4,4,4,4,2,2,1,2,2,1,1,2,1,2,,,,2,,1,8,5,4,140,999999,9,1,2,4,2,2,1,2,2,2,2,2,4,105.5
114,1777,15,ARNESES,ARNESES,COLORINES,1,59,5,09007,VALLE DEL SUR,,,1,09007,REYES CULHUACAN,,,5,2,17,0,17,10,1,1.0,4,2,0.0,,1,4,4,4,3,9,2,1,2,2,1,1,2,1,2,,,,2,,2,4,2,2,0,5000,3,1,2,4,1,2,1,2,2,2,2,2,6,105.5
115,1791,10,CAMINO ANTIGUA CULHUACAN,ARROYO LALOC,,1,33,1,09007,REYES CULHUACAN,,,2,09007,ESTRELLA DEL SUR,,,5,7,15,5,15,20,1,1.0,4,1,1.0,8,1,3,4,4,4,1,2,1,1,2,1,1,2,2,2,,,,2,,1,4,3,3,80,999999,3,1,2,4,2,2,2,2,2,2,2,1,4,31.83
116,1805,7,ERMITA IZTAPALAPA,JAVIER ROJO GOMEZ,,1,34,1,09007,PUENTE BLANCO,,,3,09007,BARRIO SAN LUCAS,,,4,3,11,30,11,58,1,1.0,3,2,0.0,,1,3,3,4,4,2,2,2,2,2,1,1,2,2,2,,,,2,,1,4,3,3,15,7500,4,1,2,4,1,2,2,2,2,2,2,2,4,77.31
126,1976,5,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,54,1,09007,PARAJE,,,2,09007,PUEBLO SANTA CRUZ,,,5,1,9,0,10,0,1,1.0,2,2,0.0,,1,4,4,4,4,2,2,2,2,2,1,1,2,2,1,2,3,2,2,,1,4,2,1,50,4000,3,1,2,3,2,2,1,2,2,2,2,2,4,61.72
126,1995,24,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,30,1,09007,SANTA CRUZ,,,4,09007,SANTA CRUZ,,,4,4,16,25,16,40,2,0.0,,1,1.0,6,2,4,4,4,4,4,1,1,1,2,1,1,1,1,2,,,,1,1,2,5,3,2,100,5000,3,1,2,3,1,2,1,2,2,2,2,2,4,61.72
127,2015,11,CALZADA IGNACIO ZARAGOZA,CALZADA IGNACIO ZARAGOZA,SENTIMIENTO DE LA NACION,1,37,4,09007,SALADO,,,3,09007,SALADO,,,4,5,15,22,15,40,2,0.0,,2,0.0,,2,9,8,8,8,1,1,1,2,2,1,1,1,1,2,,,,1,1,1,5,4,3,100,999999,4,1,2,4,1,2,2,2,2,2,2,2,4,86.09
126,1980,9,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,58,1,09007,SANTA CRUZ,,,1,09007,DESARROLLO URBANO,,,5,2,10,30,10,50,2,0.0,,2,0.0,,2,4,4,4,4,2,2,1,2,2,1,1,2,2,2,,,,2,,1,4,2,1,100,3000,2,1,2,2,2,2,2,2,2,2,1,2,4,61.72
126,1981,10,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,54,4,09007,SANTA CRUZ,,,1,09007,SANTA CRUZ,,,5,2,11,31,11,45,2,0.0,,2,0.0,,1,4,4,4,4,1,1,1,1,2,1,1,1,1,2,,,,2,,1,4,3,3,300,5000,3,1,2,3,2,2,2,2,1,2,2,2,4,61.72
113,1760,2,AV TELECOMUNICACIONES,3,,1,40,2,09007,EJERCITO,,,2,09007,ANTORCHA,,,4,8,10,30,11,0,2,0.0,,2,0.0,,9,1,1,1,2,4,2,2,1,1,1,1,2,2,1,3,8,2,1,1,2,3,1,3,100,3500,3,1,2,2,2,2,2,2,2,2,1,2,4,86.09
112,1749,3,BATALLA DE CALPULALOA,15 DE JUNIO DE 1861,,1,42,2,09007,VICENTE GUERRERO,,,7,09007,LEYES DE REFORMA,,,3,8,12,15,12,40,2,0.0,,2,0.0,,1,2,3,2,1,7,2,2,2,2,1,2,2,2,2,,,,2,,1,5,4,3,999999,999999,9,1,2,1,2,2,1,2,2,2,2,2,4,124.33
111,1737,2,CARDIOLOGOS,FRANCISCO VILLA,,1,17,1,09007,LA VIGA,,,2,09007,PUEBLO MAGDALENA ATLAZOLPA,,,2,1,9,45,10,10,2,0.0,,2,0.0,,1,2,1,2,3,3,2,1,2,2,1,1,2,1,2,,,,2,,1,4,3,3,100,3500,3,1,2,2,2,2,1,2,2,2,1,2,4,100.18
122,1894,7,AV BENITO JUAREZ,JOAQUIN HERRERA,,1,28,1,09007,INSURGENTES,,,2,09007,PRESIDENTES DE MEXICO,,,5,1,11,15,11,38,2,0.0,,2,0.0,,1,4,4,4,4,1,1,1,2,2,1,2,2,1,2,,,,2,,1,5,4,3,100,15000,5,1,2,2,1,2,1,2,2,2,2,2,4,49.59
120,1862,4,AV GUELATAO,TRANSPORTISTA,,1,16,1,09006,PANTITLAN,,,2,09007,EJIDOS,,,5,1,9,30,10,10,2,0.0,,2,0.0,,1,2,3,3,3,4,2,1,1,2,2,2,1,2,2,,,,2,,1,4,3,3,100,7000,4,1,1,4,2,2,1,2,2,2,2,2,4,51.27
124,1944,13,SANTA MARIA MEYEHUALCO,CALLE 39,,1,18,2,09007,HANK GONZALEZ,,,1,09007,SANTA CRUZ,,,5,2,7,20,7,49,2,0.0,,2,0.0,,2,3,3,4,3,2,2,2,2,2,2,2,2,2,2,,,,2,,1,5,4,3,150,5000,3,1,2,4,2,2,2,2,2,2,2,1,4,87.15
125,1949,4,AV. JALISCO,AV. LAS PALMAS,,1,16,1,09007,SANTA MARIA,,,2,09007,SANTA MARIA,,,4,1,9,58,10,10,2,0.0,,2,0.0,,1,4,4,4,4,4,2,2,2,2,2,2,2,2,2,,,,2,,1,4,2,2,100,3000,2,1,2,4,2,2,2,2,2,2,2,1,4,34.44
123,1926,15,EL VERGEL,INSURGENTES,,1,73,1,09007,LA ERA,,,5,09007,LAS PEÐAS,,,5,10,17,55,18,5,2,0.0,,2,0.0,,2,4,4,4,4,1,2,2,2,2,1,1,1,2,2,,,,2,,1,3,2,6,0,2000,2,1,2,2,1,2,2,2,1,2,2,2,4,53.13
78,1157,2,SAN MIGUEL,SAN ANGEL,LEONA VICARIO,1,34,1,09005,MALACATES,,,7,09005,MALACATES,,,3,6,9,30,11,0,1,2.0,3,2,0.0,,2,1,1,8,1,10,2,2,2,2,1,1,2,1,1,1,9,1,2,,1,5,4,3,180,999999,3,1,2,1,2,2,2,2,2,2,2,2,4,13.74
79,1168,2,MIGUEL LERDO DE TEJADA,JUVENTINO ROSAS,,1,52,1,09005,LA FORESTAL,,,4,09005,CUAUTEPEC,,,4,4,9,0,9,15,2,0.0,,1,1.0,7,2,4,1,4,1,1,2,2,1,2,2,2,2,2,2,,,,2,,1,8,5,4,30,18000,6,1,2,2,2,1,2,2,2,2,2,2,6,18.0
74,1073,56,REFORMA,RIO MISISIPI,,1,18,1,09016,SAN MIGUEL CHAPAL,,,7,09015,BUENAVISTA,,,9,8,18,50,20,0,1,2.0,3,1,2.0,7,1,4,1,2,2,1,1,1,1,1,1,1,2,1,1,3,3,2,2,,1,5,4,3,500,999999,2,1,2,3,2,1,2,2,2,2,2,2,1,169.81
74,1046,29,REFORMA,RIO MISISIPI,,1,57,7,09016,CHAPULTEPEC,,,1,09015,LA RAZA,,,5,2,11,45,13,15,2,0.0,,2,0.0,,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,3,3,2,1,1,1,8,5,5,90,999999,4,1,2,4,2,2,2,2,2,2,2,2,1,169.81
74,1063,46,REFORMA,RIO MISISIPI,,1,33,1,09015,TLATELOLCO,,,2,09014,DEL VALLE .,,,3,1,14,30,15,30,2,0.0,,2,0.0,,1,4,2,4,4,2,1,1,1,1,1,1,1,1,2,,,,1,1,1,8,5,5,200,15000,5,1,2,2,2,2,2,1,2,2,2,2,1,169.81
74,1064,47,REFORMA,RIO MISISIPI,,1,31,6,09015,CUAUHTEMOC,,,2,09016,POLANCO,,,1,8,15,5,15,30,2,0.0,,2,0.0,,1,1,1,4,1,8,2,2,2,2,2,1,2,2,2,,,,1,1,1,8,5,4,988888,14000,5,2,2,2,2,2,2,2,2,2,2,2,1,546.38
74,1030,13,REFORMA,RIO MISISIPI,,1,40,1,09016,ESCUADRON,,,2,09015,JUAREZ,,,1,1,9,0,9,20,2,0.0,,2,0.0,,1,1,1,1,1,8,1,1,1,1,1,1,1,2,2,,,,2,,2,8,5,4,988888,35000,6,3,2,4,1,2,2,2,2,2,2,2,1,169.81
76,1128,34,DR. IGNACIO MORONES PRIETO,DR. JOSE MARIA VERTIZ,DR. IGNACIO MORONES PRIETO,1,25,1,09015,DOCTORES,,,2,09015,DOCTORES,,,1,1,11,0,11,50,2,0.0,,2,0.0,,1,1,2,8,1,1,1,1,2,1,1,1,2,1,1,2,9,1,2,,2,5,4,3,250,999999,3,1,2,4,1,2,1,2,2,2,2,1,6,29.68
76,1115,21,DR. IGNACIO MORONES PRIETO,DR. MORONES PRIETO,DR. JOSE MARIA VERTIZ,1,28,4,09015,PUEBLA,,,1,09015,DOCTORES,,,4,4,14,30,16,0,2,0.0,,2,0.0,,2,3,3,3,3,7,1,2,2,2,2,2,2,2,2,,,,2,,1,8,5,4,250,999999,5,1,2,4,2,2,1,2,2,2,2,2,4,29.68
77,1137,2,BAJA CALIFORNIA,BAJA CALIFORNIA,MONTERREY,1,57,1,09015,ROMA SUR,,,7,09015,ROMA,,,1,4,7,55,8,15,2,0.0,,2,0.0,,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,,,,2,,1,5,4,3,100,5000,3,1,2,4,2,2,1,2,2,2,2,2,3,74.5
82,1233,13,JAIME NUNO,JAIME NUNO,FRANCISCO VILLA,1,48,2,09005,GUSTAVO A MADERO,,,1,09005,GUSTAVO A MADERO,,,2,2,15,0,15,30,2,0.0,,1,8.0,8,2,4,4,4,4,10,2,2,2,2,2,2,2,2,1,2,9,1,2,,2,5,4,3,999999,999999,1,1,2,4,1,2,2,2,2,2,2,2,4,59.58
81,1201,1,EMILIANO ZAPATA,LAZARO CARDENAS,GUADALUPE VICTORIA,1,33,1,09005,PALMATITLA,DARIO FERNANDO,ROBERTO E.,2,09005,VALLEJO,MIGUEL OTHON,100 METROS,5,1,7,30,8,10,1,1.0,2,2,0.0,,1,4,4,4,4,5,2,2,2,2,2,2,2,2,1,1,1,1,2,,1,9,5,4,150,999999,5,1,2,1,2,2,2,2,2,2,2,2,4,84.7
81,1202,2,EMILIANO ZAPATA,LAZARO CARDENAS,GUADALUPE VICTORIA,1,32,2,15104,SAN PABLO,AV. GRANJAS,,1,09005,LA CASILDA,,,5,2,7,0,8,20,2,0.0,,1,1.0,6,2,2,1,1,1,10,1,1,1,2,1,1,1,1,1,3,3,2,2,,1,4,3,3,350,999999,1,1,2,1,2,2,2,2,2,2,2,2,4,84.7
83,1255,21,SANTIAGO ATEPETLAC,CALLE 29,CALLE 1,1,14,1,09005,GUADALUPE PROLETARIA,CASA AZUL,,5,09005,GUADALUPE PROLETARIA,CALLE 7,CALLE 6,5,6,18,0,18,20,1,1.0,4,2,0.0,,2,8,8,8,8,2,2,2,2,2,2,2,2,2,2,,,,2,,2,4,2,2,988888,988888,9,1,2,4,2,2,2,2,2,2,2,2,4,50.48
83,1247,13,SANTIAGO ATEPETLAC,CALLE 29,CALLE 1,1,14,3,09005,PROGRESO NACIONAL,AV 28,,1,09005,PROGRESO NACIONAL,,,5,2,14,50,15,10,1,1.0,2,2,0.0,,1,3,3,4,3,2,2,1,2,2,2,1,2,2,1,2,2,2,2,,1,4,2,2,100,999999,9,1,2,4,2,2,2,2,2,2,2,2,4,50.48
84,1264,6,OTHON DE MENDIZABAL OTE,MARIA LUISA STAMPA,,1,60,1,09005,CANDELARIA TICOMAN,,,2,09002,CEYLAN,,,3,1,14,0,15,0,2,0.0,,2,0.0,,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,9,1,2,,1,8,4,2,300,999999,2,1,2,4,2,2,2,2,2,2,2,2,6,204.5
83,1256,22,SANTIAGO ATEPETLAC,CALLE 29,CALLE 1,1,39,4,09005,PROGRESO,,,5,09005,GUADALUPE PROLETARIA,,,4,10,19,5,19,45,2,0.0,,2,0.0,,1,4,4,4,4,1,2,2,2,2,1,1,2,1,2,,,,2,,2,5,4,3,50,999999,9,1,2,2,1,2,1,2,2,2,2,2,4,50.48
86,1286,4,ACUEDUCTO DE GUADALUPE,AV. RIO DE LOS REMEDIOS,,1,50,1,09005,,SAN JUNO,AV CHIQUIQUITE,4,09005,SANTA MARIA TICOMAN,CANTERAS,AV. RIO DE LOS REMEDIOS,4,4,9,30,10,30,1,2.0,4,2,0.0,,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,3,5,2,1,1,1,5,3,1,500,999999,2,1,2,1,2,2,2,2,2,2,2,2,6,72.46
85,1270,5,PONIENTE 134.,NORTE 23 A,100 METROS,1,28,2,09005,NORTE 410,NORTE 23,NORTE 27,7,09002,INDUSTRIAL VALLEJO,NORTE 23,NORTE 27,4,8,10,8,10,30,1,1.0,3,2,0.0,,1,1,1,4,1,2,1,1,2,2,1,1,1,2,2,,,,1,1,1,5,4,3,100,3000,2,1,2,4,1,1,2,2,2,2,2,1,4,39.3
86,1295,13,ACUEDUCTO DE GUADALUPE,AV. RIO DE LOS REMEDIOS,,1,40,2,09005,SANTA MARIA TICOMAN,AV. CHIQUIHUITE,,1,09005,SANTA MARIA TICOMAN,CALLEJON DE LA CAÐADA,SAN JUAN,5,2,13,15,14,0,1,3.0,4,2,0.0,,1,4,4,4,4,10,2,1,2,2,1,1,1,2,2,,,,2,,1,4,3,3,100,999999,2,1,2,1,2,2,2,2,2,2,2,1,4,72.46
90,1369,14,LAZARO CARDENAS,PONIENTE 112,MONTEVIDEO,1,46,1,09005,PENSDORES DE LA REPUBLICA,MONTEVIDEO,,2,09005,GUADALUPE,PALMA,CONSTANCIA,5,1,10,10,10,58,2,0.0,,2,0.0,,1,1,1,1,1,5,2,2,2,1,1,1,2,1,1,2,9,1,2,,1,8,5,5,200,6000,3,1,2,4,2,2,2,2,2,2,2,2,4,26.68
90,1380,25,LAZARO CARDENAS,PONIENTE 112,MONTEVIDEO,1,41,1,09005,PANAMERICANA,112,,4,09005,POLITECNICO,POL,12,4,4,12,50,13,30,1,2.0,3,1,1.0,7,1,1,1,1,1,3,1,2,1,1,1,1,1,1,2,,,,1,1,1,4,3,3,300,999999,2,1,2,4,2,2,2,2,2,2,2,2,4,26.68
91,1413,10,LEON DE LOS ALDAMA,OCTUMBA,,1,36,2,09005,SAN FELIPE DE JESUS,,,1,09005,SAN FELIPE DE JESUS,OCTUMBA,CAMINO REAL,3,2,18,20,20,0,1,1.0,2,2,0.0,,2,1,4,4,4,1,2,1,2,2,1,1,2,2,2,,,,2,,1,4,3,3,60,999999,2,1,2,1,2,2,2,2,2,2,2,1,4,164.5
90,1372,17,LAZARO CARDENAS,PONIENTE 112,MONTEVIDEO,1,44,1,09005,PANAMERICANA,NORTE 108,NORTE 110,2,09005,PANAMERICANA,NORTE 112,PONINETE 112,4,1,11,0,11,45,1,3.0,2,1,2.0,6,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,,,,2,,2,3,2,6,150,3000,2,1,2,4,1,1,2,2,2,2,2,2,4,26.68
90,1381,26,LAZARO CARDENAS,PONIENTE 112,MONTEVIDEO,1,24,2,09002,PONIENTE 128,VALLEJO,METRO VALLEJO,2,09005,100 METROS,PONIENTE 112,,4,8,13,8,13,40,1,4.0,2,2,0.0,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,2,,1,4,2,2,100,999999,2,1,2,2,2,2,2,2,2,2,2,2,4,26.68
88,1330,9,ACUEDUCTO DE GUADALUPE,ACUEDUCTO DE GUADALUPE,AXAYACATL,1,52,1,09005,TALISMAN,,,2,09005,VILLA,,,4,1,11,55,12,20,2,0.0,,2,0.0,,1,3,3,3,3,7,2,2,2,2,1,1,2,2,2,,,,2,,1,4,3,3,200,4000,3,1,2,1,1,2,2,2,2,2,2,1,4,26.89
91,1414,11,LEON DE LOS ALDAMA,OCTUMBA,,1,52,4,09005,SAN FELIPE DE JESUS,,,1,09005,CAMPESTRE ARAGON,WASHINGTON,MANZANA 3 LOTE 2,5,2,9,0,10,10,2,0.0,,2,0.0,,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,3,2,1,1,1,5,4,3,50,999999,2,1,2,4,2,2,2,2,2,2,2,2,4,164.5
92,1458,36,EDUARDO MOLINA,FAY SEBASTIAN DE APARICIO,,1,64,1,09005,NUEVA AZCAPOTZALCO,,,4,09005,NUEVA AZCAPOTZALCO,,,5,4,17,40,18,20,2,0.0,,2,0.0,,1,3,1,4,4,10,1,1,2,2,1,1,1,1,1,3,3,2,1,1,1,4,3,3,999999,999999,9,1,2,4,2,2,2,2,2,2,2,2,1,15.21
92,1450,28,EDUARDO MOLINA,FRAY SEBASTIAN DE APARICIO,,1,67,1,09005,NUEVA AZCAPOTZALCO,,,7,09005,VASCO DE QUIROGA,,,5,4,15,40,16,0,1,1.0,1,2,0.0,,1,4,1,1,2,2,1,1,2,2,1,1,2,1,1,1,2,1,2,,1,4,3,3,300,5800,3,1,2,1,2,1,2,2,2,2,2,1,1,15.21
87,1312,12,FERNANDO AMILPA,FERNANDO AMILPA,ENRIQUE TORRES,1,33,2,09005,GABRIEL HERNANDEZ,,,2,09005,CTM RISCO,,,4,8,12,30,13,15,1,1.0,1,1,2.0,5,1,1,1,3,3,8,2,1,1,1,1,1,2,1,1,1,3,2,1,2,1,3,2,6,200,999999,2,1,1,1,2,2,2,1,2,2,2,2,4,37.11
87,1317,17,FERNANDO AMILPA,FERNANDO AMILPA,ENRIQUE TORRES,1,54,2,09015,OBRERA,,,2,09005,CTM RISCO,,,5,8,14,0,15,30,1,10.0,4,1,30.0,5,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,3,1,4,500,999999,2,1,2,1,1,1,2,2,1,2,2,2,4,37.11
87,1303,3,FERNANDO AMILPA,FERNANDO AMILPA,ENRIQUE TORRES,1,20,1,09005,GONZALEZ ROMERO,,,2,09005,AMPLIACION GABRIEL H,,,4,1,8,20,9,30,2,0.0,,2,0.0,,2,3,1,3,1,10,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,100,5000,3,1,2,1,2,2,2,2,2,2,2,2,4,37.11
87,1321,21,FERNANDO AMILPA,FERNANDO AMILPA,ENRIQUE TORRES,1,72,1,09005,CTM RISCO,,,4,09005,CTM RISCO,,,5,5,16,20,18,40,2,0.0,,2,0.0,,2,9,3,2,9,1,2,2,2,2,2,2,2,2,2,,,,2,,1,7,5,4,46,5000,3,1,2,1,1,2,2,2,2,2,2,2,4,37.11
93,1480,12,CALZADA SAN JUAN DE ARAGON,JOSE ALVAREZ,EDUARDO MOLINA,1,50,1,09005,CONSTITUCION DE LA REPUBLICA,GREGORIO PAIRO,,2,09005,CONSTITUCION DE LA REPUBLICA,GAVIOTAS,ORIENTE 155,4,1,15,0,16,0,1,13.0,4,1,13.0,8,1,3,3,3,4,3,1,1,2,2,1,2,2,2,2,,,,1,1,1,3,1,4,20,1800,2,1,2,2,2,2,2,2,2,2,1,2,3,99.18
93,1477,9,CALZADA SAN JUAN DE ARAGON,JOSE ALVAREZ,EDUARDO MOLINA,1,57,2,09005,SAN JUAN DE ARAGON,535,,1,09005,MARTIN CARRERA,,,5,2,12,0,13,0,2,0.0,,2,0.0,,2,4,4,4,4,10,1,1,2,1,1,1,1,2,1,1,3,2,2,,1,3,2,6,40,999999,9,1,1,1,1,2,2,2,2,2,2,2,4,99.18
92,1467,45,EDUARDO MOLINA,FRAY SEBASTIAN DE APARICIO,,1,36,1,09005,CAMPESTRE ARAGON,,,5,09005,VASCO DE QUIROGA,,,4,10,20,20,20,50,1,1.0,4,2,0.0,,2,3,1,4,4,10,1,1,2,2,1,1,1,1,2,,,,2,,1,4,3,3,988888,999999,9,1,2,1,2,1,1,2,2,2,2,2,1,15.21
1,14,14,CAMINO REAL A TOLUCA,ESCUADRON 201,,1,18,1,09010,SANTA FE,CILANTRO,,7,09010,NI?OS HEROES,,,4,6,16,30,16,40,2,0.0,,2,0.0,,9,1,1,4,1,8,1,2,2,2,1,2,1,2,1,2,3,2,2,,1,5,4,3,600,4000,3,1,2,4,2,2,2,2,2,2,2,2,4,39.18
2,24,5,AV DR ALFONSO CASOS ANDRADE,AV DE LAS AGUILAS,,1,22,1,09010,LAS ANIMAS,TIENDA,PUENTE ALTA TENCION,4,09010,BARRANCA DE MUERTO,PLAZA COMERCIAL,,5,4,16,50,17,15,2,0.0,,2,0.0,,1,1,1,3,3,1,2,2,2,2,1,2,1,1,2,,,,1,1,1,8,4,1,10,988888,9,1,2,1,2,2,2,2,2,2,2,2,4,28.81
27,363,19,AV. CUITLAHUAC,BIOLOGO MAXIMINO MARTINEZ,PONIENTE 54,1,62,1,09015,BUENAVISTA,GRAND FORUM,,5,09002,CLAVERIA,OXXO EGIPTO,GASOLINERA CUITLAHUAC,5,10,14,45,15,14,2,0.0,,2,0.0,,1,8,1,1,1,5,2,2,2,1,1,1,2,2,1,1,3,2,1,1,1,3,1,4,200,3900,3,1,2,1,2,2,2,2,2,2,2,1,3,43.95
27,354,10,AV. CUITLAHUAC,EGIPTO,NORTE 79-A,1,34,7,09002,TEZOZOMOC,PARQUE TEZOZOMOC,,1,09016,ANZURES,SEMARNAT,,5,2,10,20,11,10,2,0.0,,2,0.0,,1,4,4,4,4,1,1,1,2,2,1,1,1,2,2,,,,1,1,1,8,5,5,100,6500,4,1,2,1,2,2,2,2,2,2,1,1,3,43.95
31,449,20,CALZADA ERMITA IZTAPALAPA,ERMITA,PLUTARCO ELIAS CALLES,1,51,1,09014,ERMITA,MIRAVALLE,PIRINEOS,2,09007,GRANJAS SAN ANTONIO,PLUTARCO,CHURUBUSCO,4,1,14,25,14,50,2,0.0,,2,0.0,,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,6,2,2,,1,5,4,3,100,8000,4,1,2,1,2,2,2,2,2,2,2,2,6,49.1
29,418,24,AV. JARDIN,AV. CENTRAL,CALLE 17,1,38,2,09002,INDUSTRIAL VALLEJO,NORTE 35,NORTE 33,1,09015,GUERRERO,MINA,PRECIO MORENO,5,1,18,15,18,35,2,0.0,,2,0.0,,2,4,4,4,4,10,1,1,1,2,1,1,2,2,1,2,3,2,2,,1,5,4,3,600,5000,3,1,1,4,2,2,2,2,2,2,2,2,6,19.62
31,455,26,CALZADA ERMITA IZTAPALAPA,PLUTARCO ELIAS CALLES,ERMITA,1,17,1,09014,PORTALES ORIENTE,MIRAVALLE,PLUTARCO ELIAS CALLES,4,09014,ERMITA,ERMITA,PLUTARCO ELIAS CALLES,4,4,17,25,17,45,2,0.0,,2,0.0,,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,1,1,2,5,4,3,50,1000,1,1,2,1,1,2,1,2,2,2,2,2,6,49.1
