PUNTO_LEV,ID_UNICO,FOLIO,CALLE_LEV,CALLE_1,CALLE_2,RESUL,F1,P1,MUNORI,P2_COL,P2_REF1,P2_REF2,P3,MUNDES,P4_COL,P4_REF1,P4_REF2,P5,P6,P7_HR,P7_MIN,P8_HR,P8_MIN,P9,P9_1,P10,P11,P11_1,P12,P13,P14_1,P14_2,P14_3,P14_4,P15,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P16_8,P17,P17_1,P17_2,P17_3,P18,P19,P20,P21_NIVEL,NIVEL,P21_AÑO,P22,P23,P23_1,P24,P24_1,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P27,FACTOR
24,273,6,AV. DE LAS GRANJAS,ANTIGUA CALZADA GUADALUPE,PRIVADA TLATENCO,1,25,1,09005,FOERESTAR,,,2,09002,FERRERIA,RASTRO,,4,1,6,0,8,0,2,0.0,,2,0.0,,2,3,2,4,4,6,2,1,2,2,1,2,2,2,1,2,7,1,2,,1,5,4,3,100,999999,2,1,2,2,1,2,2,2,2,2,2,2,6,37.55
22,230,8,CAMINO A NEXTENGO,DEMOCRACIAS,PROVIDENCIA,1,43,4,09002,SANTIAGO AHIZOTLA,,,1,09002,SAN MIGUEL AMANTLA,,,5,2,9,10,9,25,2,0.0,,2,0.0,,2,4,4,1,1,10,2,1,2,2,1,2,2,1,2,,,,2,,2,5,4,3,250,3000,2,1,2,4,2,2,2,2,2,2,2,2,4,36.41
27,356,12,AV. CUITLAHUAC,EGIPTO,NORTE 79-A,1,19,2,09016,POPOTLA,CERCA DEL PARQUE,SAN ALVARO,5,09002,OBRERA POPULAR,OXXO,,1,1,11,15,12,0,1,3.0,3,1,3.0,7,1,1,2,9,8,7,1,2,2,2,1,2,2,1,2,,,,2,,1,5,4,3,50,999999,1,4,2,1,1,2,2,2,2,2,2,2,3,43.95
26,325,7,CAMARONES,ALLENDE,HELIOPILOS,1,18,1,09002,OBRERA POPULAR,MAXIMO,,3,09002,SANTA BARBARA,,,1,3,11,15,11,30,2,0.0,,1,1.0,7,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,2,1,1,1,4,3,3,100,999999,3,1,2,1,2,2,1,2,2,2,2,2,6,38.51
27,361,17,AV. CUITLAHUAC,EGIPTO,NORTE 79-A,1,20,4,09002,CLAVERIA,PATIO CLAVERIA,,1,09002,CLAVERIA,OXXO EGIPTO,,5,2,13,40,14,10,2,0.0,,2,0.0,,2,1,4,3,4,7,2,2,1,2,1,2,2,2,2,,,,2,,1,5,4,3,200,5000,3,1,2,1,2,2,1,2,2,2,2,1,3,43.95
31,454,25,CALZADA ERMITA IZTAPALAPA,ERMITA,PLUTARCO ELIAS CALLES,1,21,2,09014,DEL VALLE,SANCHEZ AZCONA,EJE 7,1,09007,PRADO CHURUBUSCO,CRUZ DEL SUR,LIBRA,3,2,16,30,17,5,2,0.0,,2,0.0,,2,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,7,1,1,1,2,5,4,3,150,9000,4,1,2,1,1,2,2,2,2,2,2,2,6,49.1
31,445,16,CALZADA ERMITA IZTAPALAPA,ERMITA,PLUTARCO ELIAS CALLES,1,24,2,09007,PROGRESO DEL SUR,CAMPESINOS,CENTENO,2,09007,ERMITA,ERMITA,PLUTARCO ELIAS CALLES,4,1,13,20,13,45,2,0.0,,2,0.0,,1,1,1,2,1,3,2,2,2,2,2,1,2,2,2,,,,1,1,1,7,4,2,50,4500,3,1,1,1,1,2,2,2,2,2,2,2,6,49.1
31,439,10,CALZADA ERMITA IZTAPALAPA,ERMITA,PLUTARCO ELIAS CALLES,1,49,2,09007,BANJIDAL,PLUTARCO ELIAS CALLES,,4,09014,XOCO,PARROQUIA,UNIVERSIDAD,3,4,11,0,11,30,2,0.0,,2,0.0,,2,1,1,2,1,7,1,1,2,1,1,1,2,1,2,,,,1,1,2,7,4,2,150,15000,5,1,2,1,1,2,2,2,2,2,2,2,6,49.1
33,471,8,ISABEL LA CATOLICA,NIÐOS HEROES,,1,55,2,09014,JOSEFA O DE DOMINGUEZ,,,2,09014,NIÐOS HEROES,CUMBRE DE MALTRADA,,4,8,11,8,12,45,2,0.0,,2,0.0,,1,4,4,4,1,1,2,2,2,2,2,2,2,2,2,,,,2,,1,3,2,6,100,2400,2,1,2,2,2,2,2,2,2,2,2,2,4,68.81
37,2317,3,INDEPENDENCIA,MITLA,,1,69,1,09014,INDEPENDENCIA,ZEMPOALA,MITLA,2,09014,LETRAN VALLE,CUICUILCO,MONTUZINTLA,5,8,9,35,10,40,2,0.0,,2,0.0,,1,3,2,4,4,2,2,2,2,2,1,2,2,2,2,,,,1,1,1,4,3,3,50,6000,3,1,2,2,1,2,2,2,2,2,2,2,3,28.71
118,1836,10,AV. MICHOACAN,SUR 27,,1,28,2,09007,CENTRAL DE ABATOS,,,1,09007,IZTAPALAPA,SILVESTRE AGUILAR,GERZAIN URGARTE,5,2,18,45,19,30,2,0.0,,2,0.0,,2,3,3,4,3,10,2,2,2,2,1,1,2,2,1,2,9,1,2,,1,4,3,3,100,7400,4,1,2,4,2,2,1,2,2,2,2,2,6,148.34
120,1873,15,AV GUELATAO,TRANSPORTISTAS,,1,34,4,09007,TEPALCATES,,,1,09007,PEÐON VIEJO,,,5,2,15,45,16,0,2,0.0,,2,0.0,,2,4,4,4,4,1,1,2,1,2,1,1,2,2,1,1,1,2,2,,1,4,2,2,700,999999,3,1,2,1,2,1,1,2,2,2,2,1,4,51.27
120,1868,10,AV GUELATAO,TRANSPORTISTAS,,1,20,1,09007,EJERCITO DE AGUA PRIETA,,,2,09007,ALVARO OBREGON,,,4,1,12,30,12,45,2,0.0,,2,0.0,,1,3,1,4,4,1,2,1,2,2,2,2,2,2,2,,,,1,2,1,8,4,1,20,6000,3,1,1,2,2,2,2,2,2,2,2,2,4,51.27
120,1859,1,AV GELATAO,TRANSPORTISTA,,1,54,1,09007,EJERCITO DE ORIENTE,,,7,09007,,,,4,1,7,0,7,50,2,0.0,,1,2.0,6,1,4,4,4,4,8,1,2,2,2,1,1,2,2,2,,,,2,,1,3,1,1,988888,3000,2,1,2,1,2,2,2,2,1,2,2,1,6,51.27
116,1800,2,ERMITA IZTAPALAPA,JAVIER ROJO GOMEZ,,1,27,1,09007,JALPA,,,2,09006,AGRICOLA ORIENTAL,,,5,1,10,0,10,45,1,1.0,3,1,1.0,7,1,3,3,4,4,7,2,1,2,2,1,1,2,2,2,,,,1,2,1,4,3,3,80,3700,3,1,2,4,2,2,1,2,2,2,2,2,3,77.31
117,1825,8,AV GAVILAN,GRAL RAUL HERRERA,,1,17,1,09007,SAN,MIGUEL,AV GAVILAN,5,09007,,,,5,10,17,15,18,45,2,0.0,,2,0.0,,8,1,1,1,2,11,2,2,2,2,2,2,2,2,2,,,,2,,1,5,3,1,0,999999,9,1,2,4,2,2,2,2,2,2,2,2,6,56.57
116,1808,10,ERMITA IZTAPALAPA,ROJO GOMEZ,,1,19,1,09007,SAN MIGUEL,,,2,09007,SAN PEDRO,,,5,1,15,0,15,30,2,0.0,,2,0.0,,2,4,3,4,3,3,2,2,2,2,2,2,2,2,2,,,,1,1,1,4,3,3,100,3000,2,1,2,2,1,2,2,2,2,2,2,2,4,77.31
115,1793,12,CAMINO ANTIGUO CULHUCAN,ARROYO TLALOC,,1,14,1,09010,COLORINES,,,4,09007,,,,5,4,16,0,16,45,2,0.0,,1,1.0,7,1,3,3,4,4,4,2,1,2,2,1,2,2,2,2,,,,2,,2,5,3,1,200,999999,9,1,2,4,1,2,2,2,2,2,2,2,4,31.83
125,1946,1,AV. JALISCO,AV. LAS PALMAS,,1,15,1,09007,SANTA MARIA,,,2,09007,SANTA MARIA,,,5,1,8,0,8,30,2,0.0,,2,0.0,,1,3,3,8,8,1,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,200,999999,4,1,2,4,2,2,2,2,2,2,2,2,4,34.44
126,1977,6,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,53,5,09007,UNIDAD SANTA CRUZ,,,2,09007,FRANCISCO VILLA,,,1,1,10,0,10,15,2,0.0,,2,0.0,,1,3,4,4,4,10,2,1,2,2,1,1,2,2,1,2,9,1,1,1,1,3,2,6,100,999999,9,1,1,2,1,2,2,2,2,2,2,2,4,61.72
126,1991,20,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,54,1,09007,PUEBLO SANTA CRUZ,,,4,09007,PUEBLO SANTA CRUZ,,,4,4,14,49,15,20,1,1.0,3,2,0.0,,1,4,4,4,4,1,2,2,2,2,2,2,2,2,1,2,9,1,2,,1,3,1,2,220,999999,9,1,2,3,2,2,2,2,2,2,2,2,4,61.72
126,1975,4,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,43,1,09007,JACARANDA,,,2,09007,SANTA CRUZ,,,4,8,8,50,9,35,1,4.0,4,1,3.0,8,1,4,4,4,4,3,1,1,2,1,1,1,2,2,2,,,,1,2,1,4,3,3,300,4000,3,1,2,2,2,2,2,2,2,2,1,2,4,61.72
126,1973,2,NI?OS HEROES,ERMITA IZTAPALAPA,NI?OS HEROES,1,30,1,15058,METROPOLITANA,,,2,09007,SANTA CRUZ,,,5,1,8,20,9,10,1,1.0,4,2,0.0,,1,4,4,4,4,7,2,2,2,2,1,2,2,2,2,,,,1,1,1,5,3,1,50,8800,4,1,2,4,2,2,2,2,2,2,2,2,4,61.72
