Día de la semana,Día,Mes,Año,Fecha,Reforma,Revolución,Patriotismo,total
sabado,1,marzo,2014,2014-03-01,1502,0,0,1502
domingo,2,marzo,2014,2014-03-02,1145,0,0,1145
lunes,3,marzo,2014,2014-03-03,2536,0,0,2536
martes,4,marzo,2014,2014-03-04,2776,0,0,2776
miercoles,5,marzo,2014,2014-03-05,2884,0,0,2884
jueves,6,marzo,2014,2014-03-06,2753,0,0,2753
viernes,7,marzo,2014,2014-03-07,2577,0,0,2577
sabado,8,marzo,2014,2014-03-08,1838,0,0,1838
domingo,9,marzo,2014,2014-03-09,1277,0,0,1277
lunes,10,marzo,2014,2014-03-10,2491,0,0,2491
martes,11,marzo,2014,2014-03-11,274,0,0,274
miercoles,12,marzo,2014,2014-03-12,2815,0,0,2815
jueves,13,marzo,2014,2014-03-13,285,0,0,285
viernes,14,marzo,2014,2014-03-14,2714,0,0,2714
sabado,15,marzo,2014,2014-03-15,1694,0,0,1694
domingo,16,marzo,2014,2014-03-16,1275,0,0,1275
lunes,17,marzo,2014,2014-03-17,1425,0,0,1425
martes,18,marzo,2014,2014-03-18,2873,0,0,2873
miercoles,19,marzo,2014,2014-03-19,2826,0,0,2826
jueves,20,marzo,2014,2014-03-20,297,0,0,297
viernes,21,marzo,2014,2014-03-21,2924,0,0,2924
sabado,22,marzo,2014,2014-03-22,1882,0,0,1882
domingo,23,marzo,2014,2014-03-23,149,0,0,149
lunes,24,marzo,2014,2014-03-24,2692,0,0,2692
martes,25,marzo,2014,2014-03-25,2655,0,0,2655
miercoles,26,marzo,2014,2014-03-26,2868,0,0,2868
jueves,27,marzo,2014,2014-03-27,2879,0,0,2879
viernes,28,marzo,2014,2014-03-28,278,0,0,278
sabado,29,marzo,2014,2014-03-29,1298,0,0,1298
domingo,30,marzo,2014,2014-03-30,990,0,0,990
lunes,31,marzo,2014,2014-03-31,2519,0,0,2519
martes,1,abril,2014,2014-04-01,2222,0,0,2222
miercoles,2,abril,2014,2014-04-02,2635,0,0,2635
jueves,3,abril,2014,2014-04-03,3043,0,0,3043
viernes,4,abril,2014,2014-04-04,2716,0,0,2716
sabado,5,abril,2014,2014-04-05,1494,0,0,1494
domingo,6,abril,2014,2014-04-06,123,0,0,123
lunes,7,abril,2014,2014-04-07,2457,0,0,2457
martes,8,abril,2014,2014-04-08,2625,0,0,2625
miercoles,9,abril,2014,2014-04-09,2698,0,0,2698
jueves,10,abril,2014,2014-04-10,2773,0,0,2773
viernes,11,abril,2014,2014-04-11,2747,0,0,2747
sabado,12,abril,2014,2014-04-12,16,0,0,16
domingo,13,abril,2014,2014-04-13,1316,0,0,1316
lunes,14,abril,2014,2014-04-14,2016,0,0,2016
martes,15,abril,2014,2014-04-15,1858,0,0,1858
miercoles,16,abril,2014,2014-04-16,2073,0,0,2073
jueves,17,abril,2014,2014-04-17,1486,0,0,1486
viernes,18,abril,2014,2014-04-18,983,0,0,983
sabado,19,abril,2014,2014-04-19,2266,0,0,2266
domingo,20,abril,2014,2014-04-20,1181,0,0,1181
lunes,21,abril,2014,2014-04-21,2097,0,0,2097
martes,22,abril,2014,2014-04-22,2244,0,0,2244
miercoles,23,abril,2014,2014-04-23,2428,0,0,2428
jueves,24,abril,2014,2014-04-24,2626,0,0,2626
viernes,25,abril,2014,2014-04-25,2661,0,0,2661
sabado,26,abril,2014,2014-04-26,1357,0,0,1357
domingo,27,abril,2014,2014-04-27,1673,0,0,1673
lunes,28,abril,2014,2014-04-28,2524,0,0,2524
martes,29,abril,2014,2014-04-29,244,0,0,244
miercoles,30,abril,2014,2014-04-30,2299,0,0,2299
jueves,1,mayo,2014,2014-05-01,1433,0,0,1433
viernes,2,mayo,2014,2014-05-02,2358,0,0,2358
sabado,3,mayo,2014,2014-05-03,1333,0,0,1333
domingo,4,mayo,2014,2014-05-04,1243,0,0,1243
lunes,5,mayo,2014,2014-05-05,2313,0,0,2313
martes,6,mayo,2014,2014-05-06,2637,0,0,2637
miercoles,7,mayo,2014,2014-05-07,2331,0,0,2331
jueves,8,mayo,2014,2014-05-08,2192,0,0,2192
viernes,9,mayo,2014,2014-05-09,2511,0,0,2511
sabado,10,mayo,2014,2014-05-10,1041,0,0,1041
domingo,11,mayo,2014,2014-05-11,135,0,0,135
lunes,12,mayo,2014,2014-05-12,2362,0,0,2362
martes,13,mayo,2014,2014-05-13,2199,0,0,2199
miercoles,14,mayo,2014,2014-05-14,2546,0,0,2546
jueves,15,mayo,2014,2014-05-15,2743,0,0,2743
viernes,16,mayo,2014,2014-05-16,2592,0,0,2592
sabado,17,mayo,2014,2014-05-17,1679,0,0,1679
domingo,18,mayo,2014,2014-05-18,1353,0,0,1353
lunes,19,mayo,2014,2014-05-19,2514,0,0,2514
martes,20,mayo,2014,2014-05-20,2805,0,0,2805
miercoles,21,mayo,2014,2014-05-21,2693,0,0,2693
jueves,22,mayo,2014,2014-05-22,2355,0,0,2355
viernes,23,mayo,2014,2014-05-23,2137,0,0,2137
sabado,24,mayo,2014,2014-05-24,1267,0,0,1267
domingo,25,mayo,2014,2014-05-25,1347,0,0,1347
lunes,26,mayo,2014,2014-05-26,2329,0,0,2329
martes,27,mayo,2014,2014-05-27,2616,0,0,2616
miercoles,28,mayo,2014,2014-05-28,2263,0,0,2263
jueves,29,mayo,2014,2014-05-29,2919,0,0,2919
viernes,30,mayo,2014,2014-05-30,1972,0,0,1972
sabado,31,mayo,2014,2014-05-31,1115,0,0,1115
domingo,1,junio,2014,2014-06-01,1264,0,0,1264
lunes,2,junio,2014,2014-06-02,2425,0,0,2425
martes,3,junio,2014,2014-06-03,2546,0,0,2546
miercoles,4,junio,2014,2014-06-04,2407,0,0,2407
jueves,5,junio,2014,2014-06-05,2352,0,0,2352
viernes,6,junio,2014,2014-06-06,2182,0,0,2182
sabado,7,junio,2014,2014-06-07,1256,0,0,1256
domingo,8,junio,2014,2014-06-08,852,0,0,852
lunes,9,junio,2014,2014-06-09,2295,0,0,2295
martes,10,junio,2014,2014-06-10,2337,0,0,2337
miercoles,11,junio,2014,2014-06-11,2277,0,0,2277
jueves,12,junio,2014,2014-06-12,2542,0,0,2542
viernes,13,junio,2014,2014-06-13,2439,0,0,2439
sabado,14,junio,2014,2014-06-14,166,0,0,166
domingo,15,junio,2014,2014-06-15,1067,0,0,1067
lunes,16,junio,2014,2014-06-16,1833,0,0,1833
martes,17,junio,2014,2014-06-17,1933,0,0,1933
miercoles,18,junio,2014,2014-06-18,1775,0,0,1775
