Día de la semana,Día,Mes,Año,Fecha,Reforma,Revolución,Patriotismo,total
lunes,23,febrero,2015,2015-02-23,2655,0,0,2655
martes,24,febrero,2015,2015-02-24,2959,0,0,2959
miercoles,25,febrero,2015,2015-02-25,2922,0,0,2922
jueves,26,febrero,2015,2015-02-26,2865,0,0,2865
viernes,27,febrero,2015,2015-02-27,2857,0,0,2857
sabado,28,febrero,2015,2015-02-28,1515,0,0,1515
domingo,1,marzo,2015,2015-03-01,1199,0,0,1199
lunes,2,marzo,2015,2015-03-02,2677,0,0,2677
martes,3,marzo,2015,2015-03-03,3034,0,0,3034
miercoles,4,marzo,2015,2015-03-04,2991,0,0,2991
jueves,5,marzo,2015,2015-03-05,2888,0,0,2888
viernes,6,marzo,2015,2015-03-06,2586,0,0,2586
sabado,7,marzo,2015,2015-03-07,1848,0,0,1848
domingo,8,marzo,2015,2015-03-08,1257,0,0,1257
lunes,9,marzo,2015,2015-03-09,2822,0,0,2822
martes,10,marzo,2015,2015-03-10,2827,0,0,2827
miercoles,11,marzo,2015,2015-03-11,221,0,0,221
jueves,12,marzo,2015,2015-03-12,2654,0,0,2654
viernes,13,marzo,2015,2015-03-13,2581,0,0,2581
sabado,14,marzo,2015,2015-03-14,1131,0,0,1131
domingo,15,marzo,2015,2015-03-15,801,0,0,801
lunes,16,marzo,2015,2015-03-16,1305,0,0,1305
martes,17,marzo,2015,2015-03-17,273,0,0,273
miercoles,18,marzo,2015,2015-03-18,2876,0,0,2876
jueves,19,marzo,2015,2015-03-19,2825,0,0,2825
viernes,20,marzo,2015,2015-03-20,2805,0,0,2805
sabado,21,marzo,2015,2015-03-21,1773,0,0,1773
domingo,22,marzo,2015,2015-03-22,1173,0,0,1173
lunes,23,marzo,2015,2015-03-23,23,0,0,23
martes,24,marzo,2015,2015-03-24,264,0,0,264
miercoles,25,marzo,2015,2015-03-25,2932,0,0,2932
jueves,26,marzo,2015,2015-03-26,3012,0,0,3012
viernes,27,marzo,2015,2015-03-27,2541,0,0,2541
sabado,28,marzo,2015,2015-03-28,1168,0,0,1168
domingo,29,marzo,2015,2015-03-29,1357,0,0,1357
lunes,30,marzo,2015,2015-03-30,2605,0,0,2605
martes,31,marzo,2015,2015-03-31,2677,0,0,2677
miercoles,1,abril,2015,2015-04-01,2055,0,0,2055
jueves,2,abril,2015,2015-04-02,1382,0,0,1382
viernes,3,abril,2015,2015-04-03,1526,0,0,1526
sabado,4,abril,2015,2015-04-04,1587,0,0,1587
domingo,5,abril,2015,2015-04-05,1267,0,0,1267
lunes,6,abril,2015,2015-04-06,2647,0,0,2647
martes,7,abril,2015,2015-04-07,2915,0,0,2915
miercoles,8,abril,2015,2015-04-08,2995,0,0,2995
jueves,9,abril,2015,2015-04-09,2953,0,0,2953
viernes,10,abril,2015,2015-04-10,2879,0,0,2879
sabado,11,abril,2015,2015-04-11,1375,0,0,1375
domingo,12,abril,2015,2015-04-12,1284,0,0,1284
lunes,13,abril,2015,2015-04-13,2858,0,0,2858
martes,14,abril,2015,2015-04-14,2915,0,0,2915
miercoles,15,abril,2015,2015-04-15,2998,0,0,2998
jueves,16,abril,2015,2015-04-16,298,0,0,298
viernes,17,abril,2015,2015-04-17,2726,0,0,2726
sabado,18,abril,2015,2015-04-18,2673,0,0,2673
domingo,19,abril,2015,2015-04-19,1236,0,0,1236
lunes,20,abril,2015,2015-04-20,2925,0,0,2925
martes,21,abril,2015,2015-04-21,2992,0,0,2992
miercoles,22,abril,2015,2015-04-22,2864,0,0,2864
jueves,23,abril,2015,2015-04-23,3092,0,0,3092
viernes,24,abril,2015,2015-04-24,297,0,0,297
sabado,25,abril,2015,2015-04-25,16,0,0,16
domingo,26,abril,2015,2015-04-26,1445,0,0,1445
lunes,27,abril,2015,2015-04-27,2859,0,0,2859
martes,28,abril,2015,2015-04-28,3031,0,0,3031
miercoles,29,abril,2015,2015-04-29,2416,0,0,2416
jueves,30,abril,2015,2015-04-30,2568,0,0,2568
viernes,1,mayo,2015,2015-05-01,1304,0,0,1304
sabado,2,mayo,2015,2015-05-02,1149,0,0,1149
domingo,3,mayo,2015,2015-05-03,1146,0,0,1146
lunes,4,mayo,2015,2015-05-04,1976,0,0,1976
martes,5,mayo,2015,2015-05-05,2171,0,0,2171
miercoles,6,mayo,2015,2015-05-06,2463,0,0,2463
jueves,7,mayo,2015,2015-05-07,2759,0,0,2759
viernes,8,mayo,2015,2015-05-08,2474,0,0,2474
sabado,9,mayo,2015,2015-05-09,174,0,0,174
domingo,10,mayo,2015,2015-05-10,984,0,0,984
lunes,11,mayo,2015,2015-05-11,2275,0,0,2275
martes,12,mayo,2015,2015-05-12,161,0,0,161
miercoles,13,mayo,2015,2015-05-13,2068,0,0,2068
jueves,14,mayo,2015,2015-05-14,1402,0,0,1402
viernes,15,mayo,2015,2015-05-15,2526,0,0,2526
sabado,16,mayo,2015,2015-05-16,1343,0,0,1343
domingo,17,mayo,2015,2015-05-17,1043,0,0,1043
lunes,18,mayo,2015,2015-05-18,2609,0,0,2609
martes,19,mayo,2015,2015-05-19,2559,0,0,2559
miercoles,20,mayo,2015,2015-05-20,2598,0,0,2598
jueves,21,mayo,2015,2015-05-21,2884,0,0,2884
viernes,22,mayo,2015,2015-05-22,2196,0,0,2196
sabado,23,mayo,2015,2015-05-23,1506,0,0,1506
domingo,24,mayo,2015,2015-05-24,925,0,0,925
lunes,25,mayo,2015,2015-05-25,2023,0,0,2023
martes,26,mayo,2015,2015-05-26,2825,0,0,2825
miercoles,27,mayo,2015,2015-05-27,2342,0,0,2342
jueves,28,mayo,2015,2015-05-28,2112,0,0,2112
viernes,29,mayo,2015,2015-05-29,2133,0,0,2133
sabado,30,mayo,2015,2015-05-30,1024,0,0,1024
domingo,31,mayo,2015,2015-05-31,1143,0,0,1143
lunes,1,junio,2015,2015-06-01,2563,0,0,2563
martes,2,junio,2015,2015-06-02,274,0,0,274
miercoles,3,junio,2015,2015-06-03,2797,0,0,2797
jueves,4,junio,2015,2015-06-04,2495,0,0,2495
viernes,5,junio,2015,2015-06-05,2399,0,0,2399
sabado,6,junio,2015,2015-06-06,1061,0,0,1061
domingo,7,junio,2015,2015-06-07,1135,0,0,1135
lunes,8,junio,2015,2015-06-08,2762,0,0,2762
martes,9,junio,2015,2015-06-09,2902,0,0,2902
miercoles,10,junio,2015,2015-06-10,2905,0,0,2905
jueves,11,junio,2015,2015-06-11,2862,0,0,2862
viernes,12,junio,2015,2015-06-12,233,0,0,233
sabado,13,junio,2015,2015-06-13,1584,0,0,1584
domingo,14,junio,2015,2015-06-14,989,0,0,989
lunes,15,junio,2015,2015-06-15,2401,0,0,2401
martes,16,junio,2015,2015-06-16,2708,0,0,2708
miercoles,17,junio,2015,2015-06-17,2163,0,0,2163
jueves,18,junio,2015,2015-06-18,2154,0,0,2154
viernes,19,junio,2015,2015-06-19,2589,0,0,2589
sabado,20,junio,2015,2015-06-20,1323,0,0,1323
domingo,21,junio,2015,2015-06-21,872,0,0,872
lunes,22,junio,2015,2015-06-22,2384,0,0,2384
martes,23,junio,2015,2015-06-23,2823,0,0,2823
miercoles,24,junio,2015,2015-06-24,279,0,0,279
jueves,25,junio,2015,2015-06-25,2833,0,0,2833
viernes,26,junio,2015,2015-06-26,2184,0,0,2184
sabado,27,junio,2015,2015-06-27,1338,0,0,1338
domingo,28,junio,2015,2015-06-28,826,0,0,826
lunes,29,junio,2015,2015-06-29,2231,0,0,2231
martes,30,junio,2015,2015-06-30,1947,0,0,1947
miercoles,1,julio,2015,2015-07-01,2435,0,0,2435
jueves,2,julio,2015,2015-07-02,2153,0,0,2153
viernes,3,julio,2015,2015-07-03,2294,0,0,2294
sabado,4,julio,2015,2015-07-04,1131,0,0,1131
domingo,5,julio,2015,2015-07-05,116,0,0,116
lunes,6,julio,2015,2015-07-06,2246,0,0,2246
martes,7,julio,2015,2015-07-07,2681,0,0,2681
miercoles,8,julio,2015,2015-07-08,2651,0,0,2651
jueves,9,julio,2015,2015-07-09,2402,0,0,2402
viernes,10,julio,2015,2015-07-10,5861,0,0,5861
sabado,11,julio,2015,2015-07-11,14,0,0,14
domingo,12,julio,2015,2015-07-12,1143,0,0,1143
lunes,13,julio,2015,2015-07-13,2585,0,0,2585
martes,14,julio,2015,2015-07-14,2823,0,0,2823
miercoles,15,julio,2015,2015-07-15,2717,0,0,2717
jueves,16,julio,2015,2015-07-16,2844,0,0,2844
viernes,17,julio,2015,2015-07-17,2666,0,0,2666
sabado,18,julio,2015,2015-07-18,1237,0,0,1237
domingo,19,julio,2015,2015-07-19,1004,0,0,1004
lunes,20,julio,2015,2015-07-20,2679,0,0,2679
martes,21,julio,2015,2015-07-21,2592,0,0,2592
miercoles,22,julio,2015,2015-07-22,2323,0,0,2323
jueves,23,julio,2015,2015-07-23,216,0,0,216
viernes,24,julio,2015,2015-07-24,2207,0,0,2207
sabado,25,julio,2015,2015-07-25,1419,0,0,1419
domingo,26,julio,2015,2015-07-26,1449,0,0,1449
lunes,27,julio,2015,2015-07-27,2396,0,0,2396
martes,28,julio,2015,2015-07-28,2776,0,0,2776
miercoles,29,julio,2015,2015-07-29,2875,0,0,2875
jueves,30,julio,2015,2015-07-30,2735,0,0,2735
viernes,31,julio,2015,2015-07-31,2533,0,0,2533
sabado,1,agosto,2015,2015-08-01,1249,0,0,1249
domingo,2,agosto,2015,2015-08-02,1787,0,0,1787
lunes,3,agosto,2015,2015-08-03,239,0,0,239
martes,4,agosto,2015,2015-08-04,2667,0,0,2667
miercoles,5,agosto,2015,2015-08-05,2593,0,0,2593
jueves,6,agosto,2015,2015-08-06,276,0,0,276
viernes,7,agosto,2015,2015-08-07,2561,0,0,2561
sabado,8,agosto,2015,2015-08-08,1338,0,0,1338
domingo,9,agosto,2015,2015-08-09,1203,0,0,1203
lunes,10,agosto,2015,2015-08-10,263,0,0,263
martes,11,agosto,2015,2015-08-11,2478,0,0,2478
miercoles,12,agosto,2015,2015-08-12,2652,0,0,2652
jueves,13,agosto,2015,2015-08-13,2303,0,0,2303
viernes,14,agosto,2015,2015-08-14,2623,0,0,2623
sabado,15,agosto,2015,2015-08-15,1316,0,0,1316
domingo,16,agosto,2015,2015-08-16,1278,0,0,1278
lunes,17,agosto,2015,2015-08-17,2089,0,0,2089
martes,18,agosto,2015,2015-08-18,2528,0,0,2528
miercoles,19,agosto,2015,2015-08-19,2627,0,0,2627
jueves,20,agosto,2015,2015-08-20,2641,0,0,2641
viernes,21,agosto,2015,2015-08-21,2219,0,0,2219
sabado,22,agosto,2015,2015-08-22,1331,0,0,1331
domingo,23,agosto,2015,2015-08-23,1102,0,0,1102
lunes,24,agosto,2015,2015-08-24,2558,0,0,2558
martes,25,agosto,2015,2015-08-25,2711,0,0,2711
miercoles,26,agosto,2015,2015-08-26,2788,0,0,2788
jueves,27,agosto,2015,2015-08-27,2871,0,0,2871
viernes,28,agosto,2015,2015-08-28,2633,0,0,2633
sabado,29,agosto,2015,2015-08-29,1309,0,0,1309
domingo,30,agosto,2015,2015-08-30,138,0,0,138
lunes,31,agosto,2015,2015-08-31,2494,0,0,2494
martes,1,septiembre,2015,2015-09-01,2487,0,0,2487
miercoles,2,septiembre,2015,2015-09-02,1839,0,0,1839
jueves,3,septiembre,2015,2015-09-03,1613,0,0,1613
viernes,4,septiembre,2015,2015-09-04,2134,0,0,2134
sabado,5,septiembre,2015,2015-09-05,1331,0,0,1331
domingo,6,septiembre,2015,2015-09-06,103,0,0,103
lunes,7,septiembre,2015,2015-09-07,2619,0,0,2619
martes,8,septiembre,2015,2015-09-08,2674,0,0,2674
miercoles,9,septiembre,2015,2015-09-09,2826,0,0,2826
jueves,10,septiembre,2015,2015-09-10,282,0,0,282
viernes,11,septiembre,2015,2015-09-11,2758,0,0,2758
sabado,12,septiembre,2015,2015-09-12,133,0,0,133
domingo,13,septiembre,2015,2015-09-13,975,0,0,975
lunes,14,septiembre,2015,2015-09-14,213,0,0,213
martes,15,septiembre,2015,2015-09-15,2098,0,0,2098
miercoles,16,septiembre,2015,2015-09-16,738,0,0,738
jueves,17,septiembre,2015,2015-09-17,1597,0,0,1597
viernes,18,septiembre,2015,2015-09-18,2064,0,0,2064
sabado,19,septiembre,2015,2015-09-19,1496,0,0,1496
domingo,20,septiembre,2015,2015-09-20,1276,0,0,1276
lunes,21,septiembre,2015,2015-09-21,2591,0,0,2591
martes,22,septiembre,2015,2015-09-22,308,0,0,308
miercoles,23,septiembre,2015,2015-09-23,285,0,0,285
jueves,24,septiembre,2015,2015-09-24,2906,0,0,2906
viernes,25,septiembre,2015,2015-09-25,2559,0,0,2559
sabado,26,septiembre,2015,2015-09-26,872,0,0,872
domingo,27,septiembre,2015,2015-09-27,1078,0,0,1078
lunes,28,septiembre,2015,2015-09-28,188,0,0,188
martes,29,septiembre,2015,2015-09-29,2064,0,0,2064
miercoles,30,septiembre,2015,2015-09-30,2468,0,0,2468
jueves,1,octubre,2015,2015-10-01,2576,0,0,2576
viernes,2,octubre,2015,2015-10-02,2616,0,0,2616
sabado,3,octubre,2015,2015-10-03,14,0,0,14
domingo,4,octubre,2015,2015-10-04,1157,0,0,1157
lunes,5,octubre,2015,2015-10-05,2692,0,0,2692
martes,6,octubre,2015,2015-10-06,2969,0,0,2969
miercoles,7,octubre,2015,2015-10-07,2882,0,0,2882
jueves,8,octubre,2015,2015-10-08,2914,0,0,2914
viernes,9,octubre,2015,2015-10-09,2837,0,0,2837
sabado,10,octubre,2015,2015-10-10,1386,0,0,1386
domingo,11,octubre,2015,2015-10-11,1264,0,0,1264
lunes,12,octubre,2015,2015-10-12,2751,0,0,2751
martes,13,octubre,2015,2015-10-13,2891,0,0,2891
miercoles,14,octubre,2015,2015-10-14,2695,0,0,2695
jueves,15,octubre,2015,2015-10-15,2885,0,0,2885
viernes,16,octubre,2015,2015-10-16,2632,0,0,2632
sabado,17,octubre,2015,2015-10-17,1218,0,0,1218
domingo,18,octubre,2015,2015-10-18,778,0,0,778
lunes,19,octubre,2015,2015-10-19,2542,0,0,2542
martes,20,octubre,2015,2015-10-20,2909,0,0,2909
miercoles,21,octubre,2015,2015-10-21,2987,0,0,2987
jueves,22,octubre,2015,2015-10-22,286,0,0,286
viernes,23,octubre,2015,2015-10-23,2743,0,0,2743
sabado,24,octubre,2015,2015-10-24,1509,0,0,1509
domingo,25,octubre,2015,2015-10-25,1192,0,0,1192
lunes,26,octubre,2015,2015-10-26,2551,0,0,2551
martes,27,octubre,2015,2015-10-27,2473,0,0,2473
miercoles,28,octubre,2015,2015-10-28,2184,0,0,2184
jueves,29,octubre,2015,2015-10-29,2951,0,0,2951
viernes,30,octubre,2015,2015-10-30,2433,0,0,2433
sabado,31,octubre,2015,2015-10-31,2239,0,0,2239
domingo,1,noviembre,2015,2015-11-01,1033,0,0,1033
lunes,2,noviembre,2015,2015-11-02,1705,0,0,1705
martes,3,noviembre,2015,2015-11-03,2626,0,0,2626
miercoles,4,noviembre,2015,2015-11-04,268,0,0,268
jueves,5,noviembre,2015,2015-11-05,3002,0,0,3002
viernes,6,noviembre,2015,2015-11-06,2797,0,0,2797
sabado,7,noviembre,2015,2015-11-07,1501,0,0,1501
domingo,8,noviembre,2015,2015-11-08,896,0,0,896
lunes,9,noviembre,2015,2015-11-09,2788,0,0,2788
martes,10,noviembre,2015,2015-11-10,2972,0,0,2972
miercoles,11,noviembre,2015,2015-11-11,3045,0,0,3045
jueves,12,noviembre,2015,2015-11-12,2885,0,0,2885
viernes,13,noviembre,2015,2015-11-13,2679,0,0,2679
sabado,14,noviembre,2015,2015-11-14,1121,0,0,1121
domingo,15,noviembre,2015,2015-11-15,842,0,0,842
lunes,16,noviembre,2015,2015-11-16,1125,0,0,1125
martes,17,noviembre,2015,2015-11-17,2734,0,0,2734
miercoles,18,noviembre,2015,2015-11-18,2906,0,0,2906
jueves,19,noviembre,2015,2015-11-19,2807,0,0,2807
viernes,20,noviembre,2015,2015-11-20,2735,0,0,2735
sabado,21,noviembre,2015,2015-11-21,1468,0,0,1468
domingo,22,noviembre,2015,2015-11-22,912,0,0,912
lunes,23,noviembre,2015,2015-11-23,2669,0,0,2669
martes,24,noviembre,2015,2015-11-24,2773,0,0,2773
miercoles,25,noviembre,2015,2015-11-25,2783,0,0,2783
jueves,26,noviembre,2015,2015-11-26,327,0,0,327
viernes,27,noviembre,2015,2015-11-27,2752,0,0,2752
sabado,28,noviembre,2015,2015-11-28,1419,0,0,1419
domingo,29,noviembre,2015,2015-11-29,1141,0,0,1141
lunes,30,noviembre,2015,2015-11-30,2706,0,0,2706
martes,1,diciembre,2015,2015-12-01,2942,0,0,2942
miercoles,2,diciembre,2015,2015-12-02,2777,0,0,2777
jueves,3,diciembre,2015,2015-12-03,2362,0,0,2362
viernes,4,diciembre,2015,2015-12-04,2032,0,0,2032
sabado,5,diciembre,2015,2015-12-05,1197,0,0,1197
domingo,6,diciembre,2015,2015-12-06,800,0,0,800
lunes,7,diciembre,2015,2015-12-07,253,0,0,253
martes,8,diciembre,2015,2015-12-08,2506,0,0,2506
miercoles,9,diciembre,2015,2015-12-09,2699,0,0,2699
jueves,10,diciembre,2015,2015-12-10,2728,0,0,2728
viernes,11,diciembre,2015,2015-12-11,2571,0,0,2571
sabado,12,diciembre,2015,2015-12-12,123,0,0,123
domingo,13,diciembre,2015,2015-12-13,845,0,0,845
lunes,14,diciembre,2015,2015-12-14,2492,0,0,2492
martes,15,diciembre,2015,2015-12-15,2781,0,0,2781
miercoles,16,diciembre,2015,2015-12-16,2762,0,0,2762
jueves,17,diciembre,2015,2015-12-17,2508,0,0,2508
viernes,18,diciembre,2015,2015-12-18,2151,0,0,2151
sabado,19,diciembre,2015,2015-12-19,1152,0,0,1152
domingo,20,diciembre,2015,2015-12-20,875,0,0,875
lunes,21,diciembre,2015,2015-12-21,2207,0,0,2207
martes,22,diciembre,2015,2015-12-22,2294,0,0,2294
miercoles,23,diciembre,2015,2015-12-23,1983,0,0,1983
jueves,24,diciembre,2015,2015-12-24,1139,0,0,1139
viernes,25,diciembre,2015,2015-12-25,650,0,0,650
sabado,26,diciembre,2015,2015-12-26,939,0,0,939
domingo,27,diciembre,2015,2015-12-27,1037,0,0,1037
lunes,28,diciembre,2015,2015-12-28,1788,0,0,1788
martes,29,diciembre,2015,2015-12-29,2164,0,0,2164
miercoles,30,diciembre,2015,2015-12-30,1878,0,0,1878
jueves,31,diciembre,2015,2015-12-31,1253,0,0,1253
viernes,1,enero,2016,2016-01-01,708,0,0,708
sabado,2,enero,2016,2016-01-02,988,0,0,988
domingo,3,enero,2016,2016-01-03,939,0,0,939
lunes,4,enero,2016,2016-01-04,161,0,0,161
martes,5,enero,2016,2016-01-05,2327,0,0,2327
miercoles,6,enero,2016,2016-01-06,2236,0,0,2236
jueves,7,enero,2016,2016-01-07,2436,0,0,2436
viernes,8,enero,2016,2016-01-08,2417,0,0,2417
sabado,9,enero,2016,2016-01-09,6911,0,0,6911
domingo,10,enero,2016,2016-01-10,107,0,0,107
lunes,11,enero,2016,2016-01-11,2531,0,0,2531
martes,12,enero,2016,2016-01-12,2614,0,0,2614
miercoles,13,enero,2016,2016-01-13,164,0,0,164
jueves,14,enero,2016,2016-01-14,2557,0,0,2557
viernes,15,enero,2016,2016-01-15,2489,0,0,2489
sabado,16,enero,2016,2016-01-16,1265,0,0,1265
domingo,17,enero,2016,2016-01-17,1146,0,0,1146
lunes,18,enero,2016,2016-01-18,25,0,0,25
martes,19,enero,2016,2016-01-19,271,0,0,271
miercoles,20,enero,2016,2016-01-20,2651,0,0,2651
jueves,21,enero,2016,2016-01-21,2618,0,0,2618
viernes,22,enero,2016,2016-01-22,2565,0,0,2565
sabado,23,enero,2016,2016-01-23,1237,0,0,1237
domingo,24,enero,2016,2016-01-24,1024,0,0,1024
lunes,25,enero,2016,2016-01-25,2594,0,0,2594
martes,26,enero,2016,2016-01-26,7282,0,0,7282
miercoles,27,enero,2016,2016-01-27,2907,0,0,2907
jueves,28,enero,2016,2016-01-28,2681,0,0,2681
viernes,29,enero,2016,2016-01-29,2329,0,0,2329
sabado,30,enero,2016,2016-01-30,11,0,0,11
domingo,31,enero,2016,2016-01-31,1357,0,0,1357
lunes,1,febrero,2016,2016-02-01,1044,0,0,1044
martes,2,febrero,2016,2016-02-02,2586,0,0,2586
miercoles,3,febrero,2016,2016-02-03,2692,0,0,2692
jueves,4,febrero,2016,2016-02-04,2694,0,0,2694
viernes,5,febrero,2016,2016-02-05,2627,0,0,2627
sabado,6,febrero,2016,2016-02-06,1365,0,0,1365
domingo,7,febrero,2016,2016-02-07,941,0,0,941
lunes,8,febrero,2016,2016-02-08,2128,0,0,2128
martes,9,febrero,2016,2016-02-09,2179,0,0,2179
miercoles,10,febrero,2016,2016-02-10,2127,0,0,2127
jueves,11,febrero,2016,2016-02-11,2259,0,0,2259
viernes,12,febrero,2016,2016-02-12,2284,0,0,2284
sabado,13,febrero,2016,2016-02-13,1203,0,0,1203
domingo,14,febrero,2016,2016-02-14,1731,0,0,1731
lunes,15,febrero,2016,2016-02-15,2439,0,0,2439
martes,16,febrero,2016,2016-02-16,2427,0,0,2427
miercoles,17,febrero,2016,2016-02-17,2588,0,0,2588
jueves,18,febrero,2016,2016-02-18,2571,0,0,2571
viernes,19,febrero,2016,2016-02-19,2646,0,0,2646
sabado,20,febrero,2016,2016-02-20,1249,0,0,1249
domingo,21,febrero,2016,2016-02-21,1083,0,0,1083
lunes,22,febrero,2016,2016-02-22,2504,0,0,2504
martes,23,febrero,2016,2016-02-23,2709,0,0,2709
miercoles,24,febrero,2016,2016-02-24,3311,0,0,3311
jueves,25,febrero,2016,2016-02-25,3465,0,0,3465
viernes,26,febrero,2016,2016-02-26,3048,0,0,3048
sabado,27,febrero,2016,2016-02-27,1543,0,0,1543
domingo,28,febrero,2016,2016-02-28,1701,0,0,1701
lunes,29,febrero,2016,2016-02-29,2981,0,0,2981
martes,1,marzo,2016,2016-03-01,2852,0,0,2852
miercoles,2,marzo,2016,2016-03-02,3045,0,0,3045
jueves,3,marzo,2016,2016-03-03,337,0,0,337
viernes,4,marzo,2016,2016-03-04,332,0,0,332
sabado,5,marzo,2016,2016-03-05,2947,0,0,2947
domingo,6,marzo,2016,2016-03-06,1055,0,0,1055
lunes,7,marzo,2016,2016-03-07,2595,0,0,2595
martes,8,marzo,2016,2016-03-08,2406,0,0,2406
miercoles,9,marzo,2016,2016-03-09,1848,0,0,1848
jueves,10,marzo,2016,2016-03-10,2143,0,0,2143
viernes,11,marzo,2016,2016-03-11,2533,0,0,2533
sabado,12,marzo,2016,2016-03-12,132,0,0,132
domingo,13,marzo,2016,2016-03-13,133,0,0,133
lunes,14,marzo,2016,2016-03-14,2645,0,0,2645
martes,15,marzo,2016,2016-03-15,2662,0,0,2662
miercoles,16,marzo,2016,2016-03-16,2566,0,0,2566
jueves,17,marzo,2016,2016-03-17,2577,0,0,2577
viernes,18,marzo,2016,2016-03-18,2653,0,0,2653
sabado,19,marzo,2016,2016-03-19,1331,0,0,1331
domingo,20,marzo,2016,2016-03-20,947,0,0,947
lunes,21,marzo,2016,2016-03-21,1077,0,0,1077
martes,22,marzo,2016,2016-03-22,2368,0,0,2368
miercoles,23,marzo,2016,2016-03-23,2235,0,0,2235
jueves,24,marzo,2016,2016-03-24,1414,0,0,1414
viernes,25,marzo,2016,2016-03-25,1376,0,0,1376
sabado,26,marzo,2016,2016-03-26,1155,0,0,1155
domingo,27,marzo,2016,2016-03-27,1293,0,0,1293
lunes,28,marzo,2016,2016-03-28,2562,0,0,2562
martes,29,marzo,2016,2016-03-29,2755,0,0,2755
miercoles,30,marzo,2016,2016-03-30,2774,0,0,2774
jueves,31,marzo,2016,2016-03-31,3123,0,0,3123
viernes,1,abril,2016,2016-04-01,2723,0,0,2723
sabado,2,abril,2016,2016-04-02,1331,0,0,1331
domingo,3,abril,2016,2016-04-03,114,0,0,114
lunes,4,abril,2016,2016-04-04,2736,0,0,2736
martes,5,abril,2016,2016-04-05,298,0,0,298
miercoles,6,abril,2016,2016-04-06,3052,0,0,3052
jueves,7,abril,2016,2016-04-07,3014,0,0,3014
viernes,8,abril,2016,2016-04-08,2841,0,0,2841
sabado,9,abril,2016,2016-04-09,1258,0,0,1258
domingo,10,abril,2016,2016-04-10,1161,0,0,1161
lunes,11,abril,2016,2016-04-11,2926,0,0,2926
martes,12,abril,2016,2016-04-12,3048,0,0,3048
miercoles,13,abril,2016,2016-04-13,3096,0,0,3096
jueves,14,abril,2016,2016-04-14,3128,0,0,3128
viernes,15,abril,2016,2016-04-15,2968,0,0,2968
sabado,16,abril,2016,2016-04-16,2285,0,0,2285
domingo,17,abril,2016,2016-04-17,1116,0,0,1116
lunes,18,abril,2016,2016-04-18,2433,0,0,2433
martes,19,abril,2016,2016-04-19,2397,0,0,2397
miercoles,20,abril,2016,2016-04-20,2029,0,0,2029
jueves,21,abril,2016,2016-04-21,2482,0,0,2482
viernes,22,abril,2016,2016-04-22,2148,0,0,2148
sabado,23,abril,2016,2016-04-23,1347,0,0,1347
domingo,24,abril,2016,2016-04-24,1581,0,0,1581
lunes,25,abril,2016,2016-04-25,2775,0,0,2775
martes,26,abril,2016,2016-04-26,2975,0,0,2975
miercoles,27,abril,2016,2016-04-27,3024,0,0,3024
jueves,28,abril,2016,2016-04-28,2975,0,0,2975
viernes,29,abril,2016,2016-04-29,2763,0,0,2763
sabado,30,abril,2016,2016-04-30,1396,0,0,1396
domingo,1,mayo,2016,2016-05-01,2391,0,0,2391
lunes,2,mayo,2016,2016-05-02,2729,0,0,2729
martes,3,mayo,2016,2016-05-03,2831,0,0,2831
miercoles,4,mayo,2016,2016-05-04,2832,0,0,2832
jueves,5,mayo,2016,2016-05-05,2727,0,0,2727
viernes,6,mayo,2016,2016-05-06,276,0,0,276
sabado,7,mayo,2016,2016-05-07,1459,0,0,1459
domingo,8,mayo,2016,2016-05-08,879,0,0,879
lunes,9,mayo,2016,2016-05-09,2615,0,0,2615
martes,10,mayo,2016,2016-05-10,2457,0,0,2457
miercoles,11,mayo,2016,2016-05-11,2023,0,0,2023
jueves,12,mayo,2016,2016-05-12,2531,0,0,2531
viernes,13,mayo,2016,2016-05-13,2725,0,0,2725
sabado,14,mayo,2016,2016-05-14,1407,0,0,1407
domingo,15,mayo,2016,2016-05-15,887,0,0,887
lunes,16,mayo,2016,2016-05-16,2636,0,0,2636
martes,17,mayo,2016,2016-05-17,2463,0,0,2463
miercoles,18,mayo,2016,2016-05-18,2807,0,0,2807
jueves,19,mayo,2016,2016-05-19,2917,0,0,2917
viernes,20,mayo,2016,2016-05-20,2653,0,0,2653
sabado,21,mayo,2016,2016-05-21,1379,0,0,1379
domingo,22,mayo,2016,2016-05-22,1112,0,0,1112
lunes,23,mayo,2016,2016-05-23,2364,0,0,2364
martes,24,mayo,2016,2016-05-24,2554,0,0,2554
miercoles,25,mayo,2016,2016-05-25,2788,0,0,2788
jueves,26,mayo,2016,2016-05-26,2326,0,0,2326
viernes,27,mayo,2016,2016-05-27,2454,0,0,2454
sabado,28,mayo,2016,2016-05-28,1494,0,0,1494
domingo,29,mayo,2016,2016-05-29,1395,0,0,1395
lunes,30,mayo,2016,2016-05-30,2518,0,0,2518
martes,31,mayo,2016,2016-05-31,2647,0,0,2647
miercoles,1,junio,2016,2016-06-01,2825,0,0,2825
jueves,2,junio,2016,2016-06-02,2254,0,0,2254
viernes,3,junio,2016,2016-06-03,2497,0,0,2497
sabado,4,junio,2016,2016-06-04,1349,0,0,1349
domingo,5,junio,2016,2016-06-05,941,0,0,941
lunes,6,junio,2016,2016-06-06,2684,0,0,2684
martes,7,junio,2016,2016-06-07,2706,0,0,2706
miercoles,8,junio,2016,2016-06-08,2769,0,0,2769
